Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
Monothalamida,GAM,1.0,-1.5218773086140702,0.5203830985938162,26025.070685973085,18222.883878547513,18995.355709388157,12485.982505249412
Monothalamida,LightGBM,1.0,-0.888495518699781,0.042882629614069634,24574.221306963474,27171.307764261797,16000.675655117628,17032.594652867017
Monothalamida,Linear,1.0,-4.484874479063614,0.41369462845250116,30788.895289569366,20318.66437557441,21874.883263534284,14379.402860939115
Monothalamida,RF,1.0,-0.6686075090603261,0.7538252618095621,24954.93716418502,13152.613928332954,15057.080670308373,8181.221279173318
Monothalamida,Ridge,1.0,-2.387098079971804,0.2521515071540796,25733.9065315551,23719.91769831606,17546.17624885087,14808.015454996132
Monothalamida,XGBoost,1.0,-0.7715851863225301,0.9999994039535522,26903.583405170106,16.397192200338402,15168.3245840802,12.64841460529699
ZOTUs,GAM,1.0,-0.7774329146086424,0.5130299692316659,1761.6005748621826,946.4538457245154,1390.0280721631173,726.0840314869384
ZOTUs,LightGBM,1.0,-0.19140195747693522,0.0332734202308419,1540.093092451727,1431.3765515498865,1160.8866450094622,1030.012099284689
ZOTUs,Linear,1.0,-0.8648868264325978,0.36985824306363346,1829.529300097876,1100.6283364315532,1411.1223619977163,869.2289425219702
ZOTUs,RF,1.0,-0.2558114403338126,0.7481779287365401,1566.9734510012493,710.8267058877715,1182.9843189730493,553.6293158307868
ZOTUs,Ridge,1.0,-0.3472513986829302,0.21911957537164597,1607.9941493727981,1267.2639121251586,1197.3718696578342,916.5672246433323
ZOTUs,XGBoost,1.0,-0.44574590524037677,0.99997611840566,1660.243800121894,6.369355285525034,1265.0834263040563,4.969885540909622
reads,GAM,1.0,-0.7849218146418795,0.5506006113728148,101914.08364554477,66568.26929314056,72846.38468036108,45685.148473447414
reads,LightGBM,1.0,-0.6354317707638847,0.050951445578092246,98470.28809130481,104627.92182764153,62799.629228872276,62929.98681835859
reads,Linear,1.0,-2.3902716952359464,0.43152572221192287,119519.23774163915,75810.61002723116,81024.93519374637,54530.84833746563
reads,RF,1.0,-0.14851763727953413,0.759576472523444,95733.3745810595,49530.32149722086,54174.56508528119,30964.493356870884
reads,Ridge,1.0,-1.2071610270262774,0.26874369380871227,101891.18653783454,89996.89788130902,65965.58380998253,54701.70275696472
reads,XGBoost,1.0,-0.22166999181111655,0.9999970197677612,98429.05684093332,75.0793538192188,54974.66580622069,57.35474612140723
