Target,Fold,Group,PC,Variable,Loading
reads,1,Trace,PC1,Ni,0.44413957352874767
reads,1,Trace,PC1,Cu,0.3888086133207033
reads,1,Trace,PC1,Zn,0.10556632645968986
reads,1,Trace,PC1,Ga,0.05012126562969551
reads,1,Trace,PC1,As,-0.03154044331220986
reads,1,Trace,PC1,Rb,-0.2077246805211519
reads,1,Trace,PC2,Sc,0.2903286888131975
reads,1,Trace,PC2,Ti,0.3274830412619678
reads,1,Trace,PC2,V,0.35078404570650634
reads,1,Trace,PC2,Cr,0.19022580220036495
reads,1,Trace,PC2,Mn,0.08848789547577166
reads,1,Trace,PC2,Co,0.37672798147921743
reads,1,Trace,PC2,Ni,0.048952002472247264
reads,1,Trace,PC2,Cu,0.14777981324800896
reads,1,Trace,PC2,Zn,0.44867818919722124
reads,1,Trace,PC2,Ga,0.39699056255917153
reads,1,Trace,PC2,As,-0.27453600490276764
reads,1,Trace,PC2,Rb,-0.20237567531131623
reads,1,Organic,PC1,Chlorophyll a,-0.1740674304214127
reads,1,Organic,PC1,Depth,-0.003743018114375274
reads,1,Organic,PC1,N,0.5645184100939133
reads,1,Organic,PC1,C,0.5596710648894131
reads,1,Organic,PC1,S1,0.5419426255704166
reads,1,Organic,PC1,P,-0.1797226922977827
reads,1,Organic,PC1,S2,0.09793838345021266
reads,1,Organic,PC1,Cl,0.046688336688207
reads,1,Organic,PC2,Chlorophyll a,-0.011879067508655385
reads,1,Organic,PC2,Depth,-0.44009234479224396
reads,1,Organic,PC2,N,-0.1917075860400636
reads,1,Organic,PC2,C,-0.15600183124577133
reads,1,Organic,PC2,S1,0.11723219759413184
reads,1,Organic,PC2,P,-0.22207607622481204
reads,1,Organic,PC2,S2,0.6765353691577631
reads,1,Organic,PC2,Cl,0.47363273578529025
reads,2,Sediment,PC1,Grain Size,0.3666921251356403
reads,2,Sediment,PC1,Sorting,0.4699615792524766
reads,2,Sediment,PC1,Skewness,-0.4039360779633777
reads,2,Sediment,PC1,Kurtosis,-0.45390346190592423
reads,2,Sediment,PC1,Clay Content,0.13784537854935955
reads,2,Sediment,PC1,Silt Content,-0.3828545608107564
