Target,Fold,Model,Observed,Predicted,Residual
ZOTUs,2,LightGBM,2290,1967.639583404109,322.3604165958909
ZOTUs,2,LightGBM,3915,2115.8677910941265,1799.1322089058735
ZOTUs,2,LightGBM,3732,2643.8760690754675,1088.1239309245325
reads,0,RF,45571,62767.56608573371,-17196.566085733713
reads,0,RF,52170,78039.91756195197,-25869.917561951966
reads,0,RF,46733,124184.4211174798,-77451.4211174798
reads,0,RF,54126,56728.93998634699,-2602.939986346988
reads,0,RF,64258,57916.5045365468,6341.495463453197
reads,0,RF,44858,76585.01951963315,-31727.019519633148
reads,0,RF,408549,65199.51808194584,343349.48191805417
reads,0,RF,342266,93890.21475097128,248375.7852490287
reads,0,RF,60525,108250.8975807664,-47725.897580766396
reads,0,RF,72569,125406.75722782772,-52837.75722782772
reads,0,RF,142616,91623.98622265235,50992.013777347645
reads,0,RF,103466,129584.32501875902,-26118.325018759017
reads,0,RF,43948,149012.69759060384,-105064.69759060384
reads,0,RF,66002,118929.54841390552,-52927.54841390552
reads,0,RF,60337,60114.91879557941,222.08120442058862
reads,0,RF,63232,96705.81850932396,-33473.81850932396
reads,0,RF,83017,68666.98793027808,14350.012069721924
reads,0,RF,49853,74172.26304066768,-24319.263040667676
reads,0,RF,45306,92177.24915789768,-46871.24915789768
reads,0,RF,53179,78517.18891440505,-25338.18891440505
reads,0,RF,56140,65522.74298154623,-9382.742981546231
reads,0,RF,86438,79098.31519351482,7339.68480648518
reads,0,RF,9716,68435.56353328617,-58719.56353328617
reads,0,RF,71027,150294.55326211284,-79267.55326211284
reads,0,RF,63092,63688.63400113776,-596.6340011377615
reads,0,RF,49702,88795.33850735375,-39093.33850735375
reads,0,RF,44130,145282.3471622544,-101152.34716225439
reads,0,RF,61099,72710.61181610059,-11611.611816100587
reads,0,RF,65736,83974.70414803253,-18238.704148032528
reads,0,RF,46956,91063.1725682512,-44107.172568251204
reads,1,RF,126543,55521.19040503691,71021.8095949631
reads,1,RF,60794,60534.9593743677,259.0406256322967
reads,1,RF,46414,52264.80944460798,-5850.809444607978
reads,1,RF,25403,96870.15232028154,-71467.15232028154
reads,1,RF,46027,64713.03234157885,-18686.03234157885
reads,1,RF,65715,58670.86699989474,7044.133000105263
reads,1,RF,609524,72841.2896627275,536682.7103372725
reads,1,RF,247319,81621.36203266057,165697.63796733943
reads,1,RF,31923,73885.47001592063,-41962.470015920626
reads,1,RF,72088,74366.78838914016,-2278.788389140158
reads,1,RF,192597,92076.46056009152,100520.53943990848
reads,2,RF,68455,70724.27053498905,-2269.2705349890457
reads,2,RF,65040,61882.18328770337,3157.8167122966333
reads,2,RF,4623,57502.67033831958,-52879.67033831958
reads,2,RF,50657,64449.54919413049,-13792.549194130494
reads,2,RF,51314,59855.37204034584,-8541.372040345843
reads,2,RF,73611,90644.81422459624,-17033.814224596237
reads,2,RF,63353,79362.1676582059,-16009.1676582059
