Target,Fold,Model,Observed,Predicted
reads,0,GAM,44858,86051.1530148965
reads,0,GAM,408549,129599.65319763924
reads,0,GAM,342266,136482.11084309174
reads,0,GAM,60525,170182.23676471127
reads,0,GAM,72569,118842.87244318175
reads,0,GAM,142616,166233.2019645117
reads,0,GAM,103466,145663.84673681483
reads,0,GAM,43948,216633.49084572916
reads,0,GAM,66002,139368.42000288522
reads,0,GAM,60337,84758.48969273278
reads,0,GAM,63232,199500.86750452002
reads,0,GAM,83017,116832.46301938292
reads,0,GAM,49853,103634.90384655254
reads,0,GAM,45306,102146.1595713289
reads,0,GAM,53179,160890.9674349121
reads,0,GAM,56140,101680.15901263924
reads,0,GAM,86438,22523.197405003026
reads,0,GAM,9716,85358.65922021352
reads,0,GAM,71027,240898.47533633834
reads,0,GAM,63092,117530.00770918095
reads,0,GAM,49702,165279.38725954967
reads,0,GAM,44130,-140489.76968235592
reads,0,GAM,61099,116353.68542390899
reads,0,GAM,65736,91068.18534898674
reads,0,GAM,46956,124692.58710792148
reads,1,Linear,126543,53336.80445984822
reads,1,Linear,60794,46323.1814662836
reads,1,Linear,46414,32933.8711087195
reads,1,Linear,25403,115118.31528540995
reads,1,Linear,46027,41592.03570613233
reads,1,Linear,65715,31156.896175612856
reads,1,Linear,609524,81419.14092523837
reads,1,Linear,247319,52502.41612990178
reads,1,Linear,31923,128568.76373186495
reads,1,Linear,72088,102145.47431676081
reads,1,Linear,192597,98140.38221706166
reads,1,Ridge,126543,60824.134552306146
reads,1,Ridge,60794,58668.66314606604
reads,1,Ridge,46414,55314.13365207764
reads,1,Ridge,25403,79934.73605895572
reads,1,Ridge,46027,68700.32042078796
reads,1,Ridge,65715,71367.51492636582
reads,1,Ridge,609524,82700.44229417747
reads,1,Ridge,247319,78667.15257430577
reads,1,Ridge,31923,106859.64874858686
reads,1,Ridge,72088,92389.73904154866
reads,1,Ridge,192597,87161.62276550382
reads,1,RF,126543,55521.19040503691
reads,1,RF,60794,60534.9593743677
reads,1,RF,46414,52264.80944460798
reads,1,RF,25403,96870.15232028154
reads,1,RF,46027,64713.03234157885
reads,1,RF,65715,58670.86699989474
reads,1,RF,609524,72841.2896627275
reads,1,RF,247319,81621.36203266057
reads,1,RF,31923,73885.47001592063
reads,1,RF,72088,74366.78838914016
reads,1,RF,192597,92076.46056009151
reads,1,XGBoost,126543,67809.890625
reads,1,XGBoost,60794,49417.609375
reads,1,XGBoost,46414,56060.9140625
reads,1,XGBoost,25403,54522.21875
reads,1,XGBoost,46027,63741.078125
reads,1,XGBoost,65715,52709.05859375
reads,1,XGBoost,609524,66006.7109375
reads,1,XGBoost,247319,41170.48046875
reads,1,XGBoost,31923,68268.0859375
reads,1,XGBoost,72088,62437.078125
reads,1,XGBoost,192597,58816.38671875
reads,1,LightGBM,126543,76585.67567567568
reads,1,LightGBM,60794,76585.67567567568
reads,1,LightGBM,46414,76585.67567567568
reads,1,LightGBM,25403,76585.67567567568
reads,1,LightGBM,46027,76585.67567567568
reads,1,LightGBM,65715,76585.67567567568
reads,1,LightGBM,609524,76585.67567567568
reads,1,LightGBM,247319,76585.67567567568
reads,1,LightGBM,31923,76585.67567567568
reads,1,LightGBM,72088,76585.67567567568
reads,1,LightGBM,192597,76585.67567567568
reads,1,GAM,126543,50790.35895073017
reads,1,GAM,60794,51678.18656673947
reads,1,GAM,46414,10261.087389880602
reads,1,GAM,25403,114296.54590797205
reads,1,GAM,46027,28305.287229294598
reads,1,GAM,65715,17931.841960479764
reads,1,GAM,609524,125697.74467896811
reads,1,GAM,247319,68928.54962390815
reads,1,GAM,31923,115756.15197662677
reads,1,GAM,72088,100870.41217082001
reads,1,GAM,192597,90723.35005810153
reads,2,Linear,68455,37732.83662786725
reads,2,Linear,65040,87021.94891839716
reads,2,Linear,4623,59794.24579632748
reads,2,Linear,50657,17473.202412316634
reads,2,Linear,51314,17184.017768651902
reads,2,Linear,73611,-43317.550703573565
reads,2,Linear,63353,100325.17191954123
reads,2,Ridge,68455,82226.19293641517
reads,2,Ridge,65040,88038.30461073956
reads,2,Ridge,4623,71869.52495311518
reads,2,Ridge,50657,70145.46476085705
reads,2,Ridge,51314,53467.21875201419
reads,2,Ridge,73611,-13021.612305890623
reads,2,Ridge,63353,96445.64502428008
reads,2,RF,68455,70724.27053498905
reads,2,RF,65040,61882.18328770337
reads,2,RF,4623,57502.67033831958
reads,2,RF,50657,64449.54919413049
reads,2,RF,51314,59855.37204034584
reads,2,RF,73611,90644.81422459625
reads,2,RF,63353,79362.1676582059
reads,2,XGBoost,68455,46227.8984375
reads,2,XGBoost,65040,57683.234375
reads,2,XGBoost,4623,59743.30859375
reads,2,XGBoost,50657,52069.77734375
reads,2,XGBoost,51314,51824.9140625
reads,2,XGBoost,73611,58486.984375
reads,2,XGBoost,63353,76997.796875
reads,2,LightGBM,68455,37583.90775732597
reads,2,LightGBM,65040,109150.06687624197
reads,2,LightGBM,4623,54259.72315734965
reads,2,LightGBM,50657,50547.604451665524
reads,2,LightGBM,51314,47219.37669985191
reads,2,LightGBM,73611,33871.78905164185
reads,2,LightGBM,63353,105437.94817055788
reads,2,GAM,68455,39064.83367784451
reads,2,GAM,65040,100765.0241691821
reads,2,GAM,4623,17737.83100629681
reads,2,GAM,50657,15434.994219367567
reads,2,GAM,51314,-11865.211191558177
reads,2,GAM,73611,39073.251921149844
reads,2,GAM,63353,56289.15735105589
ZOTUs,0,Linear,1677,4199.507181016142
ZOTUs,0,Linear,1700,5227.977775021625
ZOTUs,0,Linear,1716,892.5336737463012
ZOTUs,0,Linear,1883,1342.205341240903
ZOTUs,0,Linear,2855,1871.652243273576
ZOTUs,0,Linear,1811,2277.799725234723
ZOTUs,0,Linear,6022,3272.2733968306216
ZOTUs,0,Linear,5812,2547.2330867769087
ZOTUs,0,Linear,2168,3789.599786562173
ZOTUs,0,Linear,2313,4942.663318283163
ZOTUs,0,Linear,4398,4281.146270903749
ZOTUs,0,Linear,2950,3063.436330302781
ZOTUs,0,Linear,1465,4063.024714661203
ZOTUs,0,Linear,2825,3851.7168359396774
ZOTUs,0,Linear,2449,3509.8358124662304
ZOTUs,0,Linear,3267,4753.918346447786
ZOTUs,0,Linear,3248,3961.7681491202766
ZOTUs,0,Linear,2242,2328.8237488841537
ZOTUs,0,Linear,1028,2322.475357771826
ZOTUs,0,Linear,1244,3257.6544333547254
ZOTUs,0,Linear,1054,3930.0311270778275
ZOTUs,0,Linear,1539,2320.4777387405584
ZOTUs,0,Linear,881,3046.188405111582
ZOTUs,0,Linear,2544,6409.325358714934
ZOTUs,0,Linear,2512,4188.793647765793
ZOTUs,0,Linear,2437,4013.325043964162
ZOTUs,0,Linear,2230,1564.615494164147
ZOTUs,0,Linear,2454,3095.53335398732
ZOTUs,0,Linear,2646,3146.722635467541
ZOTUs,0,Linear,2326,2367.645178029189
ZOTUs,0,Ridge,1677,2577.3916366913945
ZOTUs,0,Ridge,1700,3112.2739967972025
ZOTUs,0,Ridge,1716,2319.6829460321314
ZOTUs,0,Ridge,1883,2454.5437185895366
ZOTUs,0,Ridge,2855,2861.3022275636768
ZOTUs,0,Ridge,1811,3097.3233711868747
ZOTUs,0,Ridge,6022,3161.631660755614
ZOTUs,0,Ridge,5812,3230.002582890758
ZOTUs,0,Ridge,2168,3270.452378342551
ZOTUs,0,Ridge,2313,3474.8158455791695
ZOTUs,0,Ridge,4398,3474.35379503137
ZOTUs,0,Ridge,2950,3515.4072731923593
ZOTUs,0,Ridge,1465,3585.316618574746
ZOTUs,0,Ridge,2825,3172.6165683849304
ZOTUs,0,Ridge,2449,3069.5431032820975
ZOTUs,0,Ridge,3267,3511.4337964852557
ZOTUs,0,Ridge,3248,2898.7359859004277
ZOTUs,0,Ridge,2242,2888.39088530699
ZOTUs,0,Ridge,1028,3477.7947966375073
ZOTUs,0,Ridge,1244,3188.3361840484554
ZOTUs,0,Ridge,1054,3177.516540943683
ZOTUs,0,Ridge,1539,3183.162599784572
ZOTUs,0,Ridge,881,3194.001571955223
ZOTUs,0,Ridge,2544,3792.2432869797685
ZOTUs,0,Ridge,2512,3197.873223783293
ZOTUs,0,Ridge,2437,3423.4920009458547
ZOTUs,0,Ridge,2230,1810.6411248236227
ZOTUs,0,Ridge,2454,3144.9290124289514
ZOTUs,0,Ridge,2646,3277.669341292907
ZOTUs,0,Ridge,2326,2953.8149097702412
ZOTUs,0,RF,1677,2769.1496750471747
ZOTUs,0,RF,1700,3606.0095056055065
ZOTUs,0,RF,1716,2686.5421498640244
ZOTUs,0,RF,1883,2239.1122318792327
ZOTUs,0,RF,2855,2125.1669203712963
ZOTUs,0,RF,1811,2321.71623981574
ZOTUs,0,RF,6022,2519.1523271173273
ZOTUs,0,RF,5812,2433.0536793761803
ZOTUs,0,RF,2168,3100.440556665556
ZOTUs,0,RF,2313,3473.795527361527
ZOTUs,0,RF,4398,3802.9919290154303
ZOTUs,0,RF,2950,3828.068135364636
ZOTUs,0,RF,1465,3171.748361860362
ZOTUs,0,RF,2825,2798.816717449218
ZOTUs,0,RF,2449,2903.296917776668
ZOTUs,0,RF,3267,3884.6112058219564
ZOTUs,0,RF,3248,3477.13733515096
ZOTUs,0,RF,2242,2882.6684138084133
ZOTUs,0,RF,1028,3157.2977592962598
ZOTUs,0,RF,1244,3706.6360253357752
ZOTUs,0,RF,1054,3042.0670209512714
ZOTUs,0,RF,1539,3559.1025254467763
ZOTUs,0,RF,881,2897.165858863358
ZOTUs,0,RF,2544,3492.6997618353867
ZOTUs,0,RF,2512,3502.8821410672663
ZOTUs,0,RF,2437,3805.2441651265417
ZOTUs,0,RF,2230,2761.4314018897767
ZOTUs,0,RF,2454,3002.5543405760914
ZOTUs,0,RF,2646,2986.158626290377
ZOTUs,0,RF,2326,2667.174478979354
ZOTUs,0,XGBoost,1677,2848.718017578125
ZOTUs,0,XGBoost,1700,4080.96337890625
ZOTUs,0,XGBoost,1716,2772.64501953125
ZOTUs,0,XGBoost,1883,2196.451904296875
ZOTUs,0,XGBoost,2855,1654.4990234375
ZOTUs,0,XGBoost,1811,2177.981689453125
ZOTUs,0,XGBoost,6022,3381.07177734375
ZOTUs,0,XGBoost,5812,2227.76904296875
ZOTUs,0,XGBoost,2168,2532.595703125
ZOTUs,0,XGBoost,2313,1580.0684814453125
