Target,Residual_mean,Residual_sd,Residual_abs_mean
Monothalamida,1354.9258965889157,29438.03271615747,16042.931794475022
ZOTUs,-116.66438897270659,1518.032457338006,1128.8988199983858
reads,7768.518082469477,110824.31963670596,57037.9086744484
