#OTU ID	BC01	BC02	BC03	BC04	BC05	BC06	BC07	BC08	BC09	BC14	BC15	BC16	BC17	BC18	BC19	BC20	BC21	BC22	BC23	BC24	BC25	BC26	BC27	BC28	BC29	BC30	BC31	BC32	BC33	Bc34	Bc35	Bc36	Bc37	BC38	BC39	BC40	BC41	BC42	BC43	BC44	BC45	BC46	BC47	BC49	BC50	BC52	BC53	BC54
OTU_541	596	607	145	41	260	219	151	208	400	277	2614	918	43	159	570	173	157	954	1194	135	184	481	790	45	130	134	161	240	123	1137	915	860	762	12	102	122	105	131	81	170	110	180	199	13	131	136	249	224
OTU_9114	4	2	0	1	1	4	0	1	3	0	22	6	0	2	4	0	3	16	20	4	2	12	2	0	1	3	5	12	0	0	0	0	0	1	8	5	0	0	1	5	2	12	0	0	1	1	1	0
OTU_17833	55	18	19	3	8	0	19	1	71	18	17	9	3	4	16	2	14	22	111	13	33	46	2	1	2	1	0	2	1	0	0	0	2	0	14	7	0	2	0	2	2	0	10	0	5	11	8	1
OTU_15	599	226	181	247	214	364	216	397	301	510	5207	2663	366	213	570	500	450	4886	3153	372	719	672	1153	75	302	340	370	389	301	36	619	1448	499	65	356	405	266	331	567	507	292	327	345	37	164	202	262	198
OTU_22155	12	2	2	1	1	8	0	8	3	5	37	22	3	1	7	3	9	38	39	6	2	13	0	0	9	1	5	6	7	0	0	0	3	1	5	4	1	0	2	3	3	11	10	2	9	0	2	2
OTU_421	1095	257	235	341	327	419	282	510	292	508	5276	2269	247	333	822	563	406	4378	3658	436	722	1151	386	85	467	574	546	613	511	152	164	70	571	86	673	610	482	384	577	632	438	586	533	41	377	401	471	416
OTU_534	1943	1086	542	279	593	485	921	672	749	1102	9542	3490	241	641	1902	869	662	5397	4525	473	1003	2179	454	414	919	740	696	1103	540	2648	2008	4586	1928	94	903	880	592	553	663	725	553	837	932	33	645	748	1073	788
OTU_809	87	126	45	32	115	76	13	74	48	59	587	181	16	53	135	26	24	424	358	65	65	170	814	34	78	103	72	131	45	34	13	9	70	9	67	69	49	47	79	79	59	139	70	8	108	115	152	116
OTU_18	394	123	62	81	182	161	12	319	243	306	3492	1385	62	169	256	170	281	2970	2012	64	413	222	263	47	93	143	150	202	109	114	797	3201	900	12	100	73	102	60	89	113	95	300	233	14	150	178	234	202
OTU_5	2792	1145	862	909	1248	1305	587	1621	943	2235	16617	6815	647	1113	2174	1335	1117	8694	7301	1261	1788	3038	2344	578	2506	2013	1837	2825	1583	507	1435	4957	2438	400	2762	2375	1885	1466	2133	2430	1707	2569	2495	131	1799	1972	2603	2424
OTU_9944	34	7	36	7	19	3	11	10	33	36	252	95	19	13	39	11	16	376	165	43	35	31	82	1	25	10	12	11	15	1	0	4	19	1	21	21	15	11	24	14	17	17	15	1	7	8	4	15
OTU_12000	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_13	947	482	395	133	387	350	320	479	731	719	8267	2434	159	343	3738	427	603	4721	4827	166	931	659	974	213	305	201	256	455	202	361	898	33	1314	47	255	301	222	158	202	299	195	401	565	21	249	483	559	536
OTU_12098	2313	941	481	358	1036	1314	584	1179	1329	1379	13048	4544	219	540	9309	763	811	5391	6262	406	1145	1606	1333	272	575	1021	795	1399	539	441	1176	517	4551	83	730	695	677	836	923	1225	607	1154	1330	37	632	909	1368	1397
OTU_6172	70	45	6	9	19	18	144	16	20	20	88	46	35	22	30	14	13	58	87	62	7	37	3	10	15	27	18	26	4	33	3	6	6	3	13	19	15	11	21	24	16	28	22	3	13	31	17	37
OTU_7727	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14728	13	11	8	7	3	3	5	8	8	11	83	37	5	4	49	10	4	184	89	9	5	28	18	2	6	7	7	14	7	1	2	0	2	2	17	19	5	4	13	8	7	11	2	2	0	2	6	8
