Target,Model,R2_Mean,R2_SD
reads,Linear,-5.3055126441485765,7.1151396350147085
reads,Ridge,-1.7963399321459008,2.4357355503560094
reads,RF,-1.252429541511201,2.528687852215985
reads,XGBoost,-0.5264266014099122,0.5247131924479311
reads,LightGBM,-0.9787488958874914,1.358778730538043
reads,GAM,-1.7468629030000464,2.7229019052257257
ZOTUs,Linear,-1.0779086901065615,1.136625407284736
ZOTUs,Ridge,-0.5191146794949623,0.6005432831322681
ZOTUs,RF,-0.7613939769468765,0.9318414380433406
ZOTUs,XGBoost,-1.3070075750350951,0.793475648614067
ZOTUs,LightGBM,-0.32242590262007914,0.6312010012314578
ZOTUs,GAM,-0.6898011392295287,0.8619550312873573
Monothalamida,Linear,-7.3720944406225355,11.379513943294084
Monothalamida,Ridge,-2.3654877114696475,3.5736005932613706
Monothalamida,RF,-2.0859546379073772,4.538074082676739
Monothalamida,XGBoost,-0.39152097702026367,0.145860592150627
Monothalamida,LightGBM,-1.4274105422655123,2.3267324129334748
Monothalamida,GAM,-2.876659699710914,5.253089065684844
