Target,Group,PC,Variable,mean,std,CV
ZOTUs,Organic,PC2,N,-0.08646292065344066,0.053431752260644304,0.6179730207681582
ZOTUs,Organic,PC2,P,-0.18064571342559255,0.11142287379862449,0.6168033090058307
ZOTUs,Organic,PC2,S1,0.09651958485997386,0.0463452716759802,0.48016443236070455
ZOTUs,Organic,PC2,S2,0.6661863981578311,0.030461076183849925,0.04572455437109235
ZOTUs,Sediment,PC1,Clay Content,0.08976427319258104,0.10719353033488888,1.1941669722531476
ZOTUs,Sediment,PC1,Grain Size,0.3771147516551392,0.03478717800635048,0.0922456039008582
ZOTUs,Sediment,PC1,Kurtosis,-0.45572756349977916,0.011858232942534295,0.026020442677349803
ZOTUs,Sediment,PC1,Sand Content,0.34067045396458234,0.037731211004405255,0.1107557481586823
ZOTUs,Sediment,PC1,Silt Content,-0.34408347776436543,0.04553977117583635,0.13235093841681875
ZOTUs,Sediment,PC1,Skewness,-0.4109245449976161,0.03431894868123257,0.08351642436309485
ZOTUs,Sediment,PC1,Sorting,0.47403955083189686,0.002160140150315282,0.004556877472616852
ZOTUs,Sediment,PC2,Clay Content,0.6655177269781033,0.051273241002481096,0.07704263751965855
ZOTUs,Sediment,PC2,Grain Size,-0.4213293264166852,0.06617489037725159,0.15706215121566477
ZOTUs,Sediment,PC2,Kurtosis,-0.16234608640514261,0.04953440243952291,0.30511608586552175
ZOTUs,Sediment,PC2,Sand Content,-0.4209454278066217,0.059142081664943,0.14049821605881013
ZOTUs,Sediment,PC2,Silt Content,-0.34735641209334683,0.10693854699594771,0.3078640361105802
ZOTUs,Sediment,PC2,Skewness,-0.16372757323350895,0.09670848780466516,0.5906670812663858
ZOTUs,Sediment,PC2,Sorting,-0.02172649217861188,0.03679167995316478,1.693401753522985
ZOTUs,Trace,PC1,As,-0.029062569462479104,0.08591396965753906,2.956172535551521
ZOTUs,Trace,PC1,Co,0.20629423632866445,0.1354732998952544,0.6566993935759826
ZOTUs,Trace,PC1,Cr,-0.2494968426477418,0.25723779130148283,1.0310262389358982
ZOTUs,Trace,PC1,Cu,0.3635589304203816,0.041289532465622815,0.11357039811367006
ZOTUs,Trace,PC1,Ga,0.06170280610951928,0.13574832988361707,2.200034948859065
ZOTUs,Trace,PC1,Mn,0.3629023967740751,0.11502018004181025,0.3169452201590613
ZOTUs,Trace,PC1,Ni,0.3717036193557762,0.13708604457749887,0.36880470740395704
ZOTUs,Trace,PC1,Rb,-0.16756821085649523,0.04911328909133122,0.29309430971600964
ZOTUs,Trace,PC1,Sc,0.002622030374016859,0.17215693875350585,65.6578735545948
ZOTUs,Trace,PC1,Ti,-0.22857400163084257,0.33151633099242983,1.4503676211078624
ZOTUs,Trace,PC1,V,-0.2014962136934609,0.3104695415995413,1.5408207226755293
ZOTUs,Trace,PC1,Zn,0.17416681081160812,0.19784683420051777,1.1359617442528918
ZOTUs,Trace,PC2,As,0.03505951217724813,0.3642765052757157,10.39023313941353
ZOTUs,Trace,PC2,Co,0.28755481553499534,0.2186036903179137,0.7602157171710091
ZOTUs,Trace,PC2,Cr,0.044639396822600264,0.26497751762441796,5.935956497742455
ZOTUs,Trace,PC2,Cu,0.18935380367973878,0.11328963109826845,0.598296041044306
ZOTUs,Trace,PC2,Ga,0.05272533516716993,0.38067743799661713,7.220009826199276
ZOTUs,Trace,PC2,Mn,0.17208235651683085,0.15398599827719994,0.8948389677714522
ZOTUs,Trace,PC2,Ni,0.15594565134210672,0.16868955084735157,1.0817201338772047
ZOTUs,Trace,PC2,Rb,0.011843322259664613,0.33929949010459554,28.64901272341162
ZOTUs,Trace,PC2,Sc,0.15333276838808985,0.19877200626921507,1.2963439476036664
ZOTUs,Trace,PC2,Ti,0.09162793856367168,0.30408094933470275,3.3186488106288543
ZOTUs,Trace,PC2,V,0.08052896436316445,0.2917357812668899,3.6227434883086076
ZOTUs,Trace,PC2,Zn,0.2547054974352381,0.32376176828275127,1.2711220273723047
reads,Major,PC1,Al2O3,0.48350222122709124,0.015343530037987241,0.0317341459136352
reads,Major,PC1,CaO,-0.12170705746067849,0.18378479747211382,1.5100586712606343
