Target,Fold,Model,Observed,Predicted,Residual
ZOTUs,4,LightGBM,2437,2679.282051282052,-242.28205128205218
ZOTUs,4,LightGBM,2454,2679.282051282052,-225.28205128205218
ZOTUs,4,LightGBM,4272,2679.282051282052,1592.7179487179478
ZOTUs,4,LightGBM,3915,2679.282051282052,1235.7179487179478
reads,0,XGBoost,60794,87293.265625,-26499.265625
reads,0,XGBoost,25403,64480.89453125,-39077.89453125
reads,0,XGBoost,31923,64080.921875,-32157.921875
reads,0,XGBoost,103466,126900.984375,-23434.984375
reads,0,XGBoost,60337,57237.05078125,3099.94921875
reads,0,XGBoost,63232,65920.5625,-2688.5625
reads,0,XGBoost,53179,89401.171875,-36222.171875
reads,0,XGBoost,86438,89831.4140625,-3393.4140625
reads,0,XGBoost,9716,60636.0,-50920.0
reads,0,XGBoost,51314,36531.0234375,14782.9765625
reads,1,XGBoost,65715,65336.6640625,378.3359375
reads,1,XGBoost,609524,65670.1171875,543853.8828125
reads,1,XGBoost,247319,68269.84375,179049.15625
reads,1,XGBoost,72088,53970.76953125,18117.23046875
reads,1,XGBoost,44858,53575.046875,-8717.046875
reads,1,XGBoost,43948,69300.78125,-25352.78125
reads,1,XGBoost,71027,58147.80078125,12879.19921875
reads,1,XGBoost,65736,60251.19921875,5484.80078125
reads,1,XGBoost,46956,64311.49609375,-17355.49609375
reads,1,XGBoost,63353,50173.3046875,13179.6953125
reads,2,XGBoost,46414,49151.48046875,-2737.48046875
reads,2,XGBoost,52170,74753.625,-22583.625
reads,2,XGBoost,46733,161759.71875,-115026.71875
reads,2,XGBoost,408549,51271.34375,357277.65625
reads,2,XGBoost,60525,46004.203125,14520.796875
reads,2,XGBoost,142616,47512.796875,95103.203125
reads,2,XGBoost,49853,71032.3046875,-21179.3046875
reads,2,XGBoost,63092,65809.75,-2717.75
reads,2,XGBoost,44130,156240.71875,-112110.71875
reads,2,XGBoost,65040,12108.8134765625,52931.1865234375
reads,3,XGBoost,45571,144293.578125,-98722.578125
reads,3,XGBoost,192597,82251.9140625,110345.0859375
reads,3,XGBoost,64258,37470.51171875,26787.48828125
reads,3,XGBoost,342266,30792.48046875,311473.51953125
reads,3,XGBoost,66002,53158.77734375,12843.22265625
reads,3,XGBoost,83017,94480.3125,-11463.3125
reads,3,XGBoost,45306,90586.4453125,-45280.4453125
reads,3,XGBoost,68455,54753.203125,13701.796875
reads,3,XGBoost,4623,55002.015625,-50379.015625
reads,4,XGBoost,126543,64853.60546875,61689.39453125
reads,4,XGBoost,46027,81194.578125,-35167.578125
reads,4,XGBoost,54126,41772.66796875,12353.33203125
reads,4,XGBoost,72569,66237.328125,6331.671875
reads,4,XGBoost,56140,56310.2109375,-170.2109375
reads,4,XGBoost,49702,130978.03125,-81276.03125
reads,4,XGBoost,61099,64753.19921875,-3654.19921875
reads,4,XGBoost,50657,51974.9921875,-1317.9921875
reads,4,XGBoost,73611,63620.03515625,9990.96484375
