Target,Fold,Model,Feature,MeanAbsSHAP
ZOTUs,0,XGBoost,Organic_PC2,322.40740966796875
ZOTUs,0,RF,Sediment_PC1,74.6757964564809
ZOTUs,0,RF,Sediment_PC2,11.636320591965788
ZOTUs,0,RF,Major_PC1,276.12689501889383
ZOTUs,0,RF,Major_PC2,101.13795248221318
ZOTUs,0,RF,Trace_PC1,71.77997630813893
ZOTUs,0,RF,Trace_PC2,78.56905471643638
ZOTUs,0,RF,Organic_PC1,62.57048496824607
ZOTUs,0,RF,Organic_PC2,155.43899534404528
ZOTUs,0,LightGBM,Sediment_PC1,0.0
ZOTUs,0,LightGBM,Sediment_PC2,0.0
ZOTUs,0,LightGBM,Major_PC1,0.0
ZOTUs,0,LightGBM,Major_PC2,0.0
ZOTUs,0,LightGBM,Trace_PC1,0.0
ZOTUs,0,LightGBM,Trace_PC2,0.0
ZOTUs,0,LightGBM,Organic_PC1,0.0
ZOTUs,0,LightGBM,Organic_PC2,0.0
ZOTUs,1,XGBoost,Sediment_PC1,113.2747802734375
ZOTUs,1,XGBoost,Sediment_PC2,68.28754425048828
ZOTUs,1,XGBoost,Major_PC1,143.15316772460938
ZOTUs,1,XGBoost,Major_PC2,143.63027954101562
ZOTUs,1,XGBoost,Trace_PC1,61.2983512878418
ZOTUs,1,XGBoost,Trace_PC2,244.70175170898438
ZOTUs,1,XGBoost,Organic_PC1,16.207109451293945
ZOTUs,1,XGBoost,Organic_PC2,250.2316436767578
ZOTUs,1,RF,Sediment_PC1,70.84070521982173
ZOTUs,1,RF,Sediment_PC2,36.373556147119835
ZOTUs,1,RF,Major_PC1,90.25156801345645
ZOTUs,1,RF,Major_PC2,50.32365081343591
ZOTUs,1,RF,Trace_PC1,69.39153036260889
ZOTUs,1,RF,Trace_PC2,157.26568558884065
ZOTUs,1,RF,Organic_PC1,34.74793731623964
ZOTUs,1,RF,Organic_PC2,63.600200824897215
ZOTUs,1,LightGBM,Sediment_PC1,0.0
ZOTUs,1,LightGBM,Sediment_PC2,0.0
ZOTUs,1,LightGBM,Major_PC1,0.0
ZOTUs,1,LightGBM,Major_PC2,0.0
ZOTUs,1,LightGBM,Trace_PC1,0.0
ZOTUs,1,LightGBM,Trace_PC2,0.0
ZOTUs,1,LightGBM,Organic_PC1,0.0
ZOTUs,1,LightGBM,Organic_PC2,0.0
ZOTUs,2,XGBoost,Sediment_PC1,125.9295654296875
ZOTUs,2,XGBoost,Sediment_PC2,55.52421951293945
ZOTUs,2,XGBoost,Major_PC1,318.0001525878906
ZOTUs,2,XGBoost,Major_PC2,575.9677124023438
ZOTUs,2,XGBoost,Trace_PC1,459.77587890625
ZOTUs,2,XGBoost,Trace_PC2,64.53202819824219
ZOTUs,2,XGBoost,Organic_PC1,50.69286346435547
ZOTUs,2,XGBoost,Organic_PC2,64.83806610107422
ZOTUs,2,RF,Sediment_PC1,54.16459589008117
ZOTUs,2,RF,Sediment_PC2,9.764827057094408
ZOTUs,2,RF,Major_PC1,210.74084797044262
ZOTUs,2,RF,Major_PC2,216.08906358689077
ZOTUs,2,RF,Trace_PC1,54.821426548097634
ZOTUs,2,RF,Trace_PC2,32.081365151662446
ZOTUs,2,RF,Organic_PC1,93.1454733575969
ZOTUs,2,RF,Organic_PC2,99.51561897729215
ZOTUs,2,LightGBM,Sediment_PC1,0.0
ZOTUs,2,LightGBM,Sediment_PC2,0.0
ZOTUs,2,LightGBM,Major_PC1,0.0
ZOTUs,2,LightGBM,Major_PC2,0.0
ZOTUs,2,LightGBM,Trace_PC1,0.0
ZOTUs,2,LightGBM,Trace_PC2,0.0
ZOTUs,2,LightGBM,Organic_PC1,0.0
ZOTUs,2,LightGBM,Organic_PC2,0.0
ZOTUs,3,XGBoost,Sediment_PC1,212.68115234375
ZOTUs,3,XGBoost,Sediment_PC2,57.51544952392578
ZOTUs,3,XGBoost,Major_PC1,219.048828125
ZOTUs,3,XGBoost,Major_PC2,481.35888671875
ZOTUs,3,XGBoost,Trace_PC1,135.53460693359375
ZOTUs,3,XGBoost,Trace_PC2,80.89785766601562
ZOTUs,3,XGBoost,Organic_PC1,60.70262145996094
ZOTUs,3,XGBoost,Organic_PC2,48.93899917602539
ZOTUs,3,RF,Sediment_PC1,85.45958363589531
ZOTUs,3,RF,Sediment_PC2,22.301870640738613
ZOTUs,3,RF,Major_PC1,69.30334535360436
ZOTUs,3,RF,Major_PC2,174.9873172846496
ZOTUs,3,RF,Trace_PC1,38.30914120590345
