Target,Residual_mean,Residual_sd,Residual_abs_mean
Monothalamida,6420.087219238281,29981.276836276276,14847.912902832031
ZOTUs,-0.3672402159245583,1481.3724052615746,1015.7026821862347
reads,20970.167622884113,114814.54205439263,57203.77178955078
