Target,Fold,Group,PC,Variable,Loading
reads,1,Trace,PC1,Ni,0.4423180334320727
reads,1,Trace,PC1,Cu,0.3844653015441727
reads,1,Trace,PC1,Zn,0.10434545890389782
reads,1,Trace,PC1,Ga,0.057398961813967336
reads,1,Trace,PC1,As,-0.03669234147956296
reads,1,Trace,PC1,Rb,-0.2219272664441494
reads,1,Trace,PC2,Sc,0.310153394289865
reads,1,Trace,PC2,Ti,0.33202166853631854
reads,1,Trace,PC2,V,0.3525118787933048
reads,1,Trace,PC2,Cr,0.18841939848112405
reads,1,Trace,PC2,Mn,0.08055641109870021
reads,1,Trace,PC2,Co,0.37770956913909937
reads,1,Trace,PC2,Ni,0.04821946491591378
reads,1,Trace,PC2,Cu,0.17052517336933187
reads,1,Trace,PC2,Zn,0.4698892875660945
reads,1,Trace,PC2,Ga,0.3728815745952473
reads,1,Trace,PC2,As,-0.25011858197217546
reads,1,Trace,PC2,Rb,-0.17563105474523044
reads,1,Organic,PC1,Chlorophyll a,-0.25214562788675715
reads,1,Organic,PC1,Depth,-0.20424773207953584
reads,1,Organic,PC1,N,0.5354418262200475
reads,1,Organic,PC1,C,0.5319970148029411
reads,1,Organic,PC1,S1,0.5331801971402731
reads,1,Organic,PC1,P,-0.09936515224806819
reads,1,Organic,PC1,S2,0.12333518456398324
reads,1,Organic,PC1,Cl,0.12498219632254107
reads,1,Organic,PC2,Chlorophyll a,0.3943870289738586
reads,1,Organic,PC2,Depth,-0.3319393813975406
reads,1,Organic,PC2,N,-0.14797861383917518
reads,1,Organic,PC2,C,-0.1083532293306269
reads,1,Organic,PC2,S1,0.04382352864189701
reads,1,Organic,PC2,P,-0.01072570519303052
reads,1,Organic,PC2,S2,0.689399443593757
reads,1,Organic,PC2,Cl,0.4725779202973369
reads,2,Sediment,PC1,Grain Size,0.3360397191254575
reads,2,Sediment,PC1,Sorting,0.4764583086505447
reads,2,Sediment,PC1,Skewness,-0.4702400285836558
reads,2,Sediment,PC1,Kurtosis,-0.47492334820956994
reads,2,Sediment,PC1,Clay Content,0.204706876359081
reads,2,Sediment,PC1,Silt Content,-0.2984367799788121
reads,2,Sediment,PC1,Sand Content,0.28708448104728046
reads,2,Sediment,PC2,Grain Size,-0.46403350785694114
reads,2,Sediment,PC2,Sorting,-0.04517294779165382
reads,2,Sediment,PC2,Skewness,0.008949146057429441
reads,2,Sediment,PC2,Kurtosis,-0.08107361903370691
reads,2,Sediment,PC2,Clay Content,0.5886035610834419
reads,2,Sediment,PC2,Silt Content,-0.49221999437957437
reads,2,Sediment,PC2,Sand Content,-0.4327177075973171
reads,2,Major,PC1,Na2O,0.2706190560552498
reads,2,Major,PC1,MgO,0.23509633347159525
reads,2,Major,PC1,Al2O3,0.4644627171605551
