Target,Fold,Model,Feature,MeanAbsSHAP
zotu,2,XGBoost,Trace_PC2,60.147212982177734
zotu,2,XGBoost,Organic_PC1,119.436279296875
zotu,2,XGBoost,Organic_PC2,101.39422607421875
zotu,2,RF,Sediment_PC1,71.5276688338579
zotu,2,RF,Sediment_PC2,12.499245130975575
zotu,2,RF,Major_PC1,199.3602627306496
zotu,2,RF,Major_PC2,76.63557351659188
zotu,2,RF,Trace_PC1,108.95470549661202
zotu,2,RF,Trace_PC2,19.648600370668962
zotu,2,RF,Organic_PC1,38.83538918945754
zotu,2,RF,Organic_PC2,89.19211596775747
zotu,2,LightGBM,Sediment_PC1,232.91310037714229
zotu,2,LightGBM,Sediment_PC2,33.15030519922505
zotu,2,LightGBM,Major_PC1,0.0
zotu,2,LightGBM,Major_PC2,109.66275364391757
zotu,2,LightGBM,Trace_PC1,0.0
zotu,2,LightGBM,Trace_PC2,202.15653771414264
zotu,2,LightGBM,Organic_PC1,107.98955204689204
zotu,2,LightGBM,Organic_PC2,23.62338397366047
shannon,0,XGBoost,Sediment_PC1,0.03677814453840256
shannon,0,XGBoost,Sediment_PC2,0.04296412318944931
shannon,0,XGBoost,Major_PC1,0.015492275357246399
shannon,0,XGBoost,Major_PC2,0.03406229987740517
shannon,0,XGBoost,Trace_PC1,0.07931439578533173
shannon,0,XGBoost,Trace_PC2,0.1749342978000641
shannon,0,XGBoost,Organic_PC1,0.018224937841296196
shannon,0,XGBoost,Organic_PC2,0.07653991132974625
shannon,0,RF,Sediment_PC1,0.007059552123285018
shannon,0,RF,Sediment_PC2,0.05244437267848661
shannon,0,RF,Major_PC1,0.017978079864836828
shannon,0,RF,Major_PC2,0.0195520972789993
shannon,0,RF,Trace_PC1,0.05851684830789997
shannon,0,RF,Trace_PC2,0.09812160319445012
shannon,0,RF,Organic_PC1,0.011220612865533297
shannon,0,RF,Organic_PC2,0.045711118901848695
shannon,0,LightGBM,Sediment_PC1,0.0
shannon,0,LightGBM,Sediment_PC2,0.0
shannon,0,LightGBM,Major_PC1,0.0
