Target,Fold,Model,Observed,Predicted,Residual
Rotaliida,0,RF,6538.0,9010.850876984126,-2472.8508769841264
Rotaliida,0,RF,8348.0,10986.288240079366,-2638.288240079366
Rotaliida,0,RF,5383.0,7807.479484126986,-2424.479484126986
Rotaliida,0,RF,15540.0,10422.430148809526,5117.569851190474
Rotaliida,0,RF,820.0,9219.094210317462,-8399.094210317462
Rotaliida,0,RF,6955.0,17557.80841269841,-10602.80841269841
Rotaliida,0,RF,6326.0,9875.667531746032,-3549.667531746032
Rotaliida,0,RF,4912.0,12398.53250793651,-7486.53250793651
Rotaliida,0,RF,4989.0,16557.576761904762,-11568.576761904762
Rotaliida,0,RF,5775.0,8131.360888888889,-2356.3608888888893
Rotaliida,0,RF,7213.0,7066.758154761904,146.24184523809618
Rotaliida,0,RF,4872.0,11896.378924603176,-7024.378924603176
Rotaliida,1,RF,15599.0,6998.181291435922,8600.818708564078
Rotaliida,1,RF,8228.0,6724.923707114607,1503.0762928853928
Rotaliida,1,RF,9409.0,5723.542070376799,3685.4579296232014
Rotaliida,1,RF,2628.0,9576.931749537463,-6948.9317495374635
Rotaliida,1,RF,5974.0,7891.068539295778,-1917.0685392957776
Rotaliida,1,RF,7084.0,7378.423061784791,-294.42306178479066
Rotaliida,1,RF,78732.0,6998.332897127424,71733.66710287257
Rotaliida,1,RF,28116.0,11074.987844283169,17041.01215571683
Rotaliida,1,RF,2671.0,11457.898678143669,-8786.898678143669
Rotaliida,1,RF,4940.0,9092.321198009977,-4152.321198009977
Rotaliida,1,RF,17898.0,9034.470203966071,8863.529796033929
Rotaliida,2,RF,8371.0,8254.396837362206,116.6031626377935
Rotaliida,2,RF,8239.0,7081.256839846674,1157.7431601533262
Rotaliida,2,RF,504.0,6697.803178939689,-6193.803178939689
Rotaliida,2,RF,6674.0,8028.520647904556,-1354.5206479045564
Rotaliida,2,RF,6452.0,7143.182210416995,-691.1822104169951
Rotaliida,2,RF,10780.0,9896.589123959657,883.4108760403433
Rotaliida,2,RF,9915.0,9148.56430125226,766.4356987477404
Textulariida,0,LightGBM,108.0,257.1666666666667,-149.16666666666669
Textulariida,0,LightGBM,107.0,257.1666666666667,-150.16666666666669
Textulariida,0,LightGBM,81.0,257.1666666666667,-176.16666666666669
Textulariida,0,LightGBM,95.0,257.1666666666667,-162.16666666666669
Textulariida,0,LightGBM,85.0,257.1666666666667,-172.16666666666669
Textulariida,0,LightGBM,76.0,257.1666666666667,-181.16666666666669
Textulariida,0,LightGBM,623.0,257.1666666666667,365.8333333333333
Textulariida,0,LightGBM,753.0,257.1666666666667,495.8333333333333
Textulariida,0,LightGBM,96.0,257.1666666666667,-161.16666666666669
Textulariida,0,LightGBM,130.0,257.1666666666667,-127.16666666666669
Textulariida,0,LightGBM,273.0,257.1666666666667,15.833333333333314
Textulariida,0,LightGBM,93.0,257.1666666666667,-164.16666666666669
Textulariida,0,LightGBM,28.0,257.1666666666667,-229.16666666666669
Textulariida,0,LightGBM,140.0,257.1666666666667,-117.16666666666669
Textulariida,0,LightGBM,94.0,257.1666666666667,-163.16666666666669
Textulariida,0,LightGBM,133.0,257.1666666666667,-124.16666666666669
Textulariida,0,LightGBM,114.0,257.1666666666667,-143.16666666666669
Textulariida,0,LightGBM,64.0,257.1666666666667,-193.16666666666669
Textulariida,0,LightGBM,56.0,257.1666666666667,-201.16666666666669
Textulariida,0,LightGBM,38.0,257.1666666666667,-219.16666666666669
Textulariida,0,LightGBM,33.0,257.1666666666667,-224.16666666666669
Textulariida,0,LightGBM,112.0,257.1666666666667,-145.16666666666669
Textulariida,0,LightGBM,13.0,257.1666666666667,-244.16666666666669
Textulariida,0,LightGBM,147.0,257.1666666666667,-110.16666666666669
Textulariida,0,LightGBM,104.0,257.1666666666667,-153.16666666666669
Textulariida,0,LightGBM,67.0,257.1666666666667,-190.16666666666669
Textulariida,0,LightGBM,87.0,257.1666666666667,-170.16666666666669
Textulariida,0,LightGBM,103.0,257.1666666666667,-154.16666666666669
Textulariida,0,LightGBM,101.0,257.1666666666667,-156.16666666666669
Textulariida,0,LightGBM,80.0,257.1666666666667,-177.16666666666669
Textulariida,1,LightGBM,249.0,129.02702702702703,119.97297297297297
Textulariida,1,LightGBM,119.0,129.02702702702703,-10.027027027027032
Textulariida,1,LightGBM,47.0,129.02702702702703,-82.02702702702703
Textulariida,1,LightGBM,31.0,129.02702702702703,-98.02702702702703
Textulariida,1,LightGBM,104.0,129.02702702702703,-25.02702702702703
Textulariida,1,LightGBM,90.0,129.02702702702703,-39.02702702702703
Textulariida,1,LightGBM,898.0,129.02702702702703,768.9729729729729
Textulariida,1,LightGBM,365.0,129.02702702702703,235.97297297297297
Textulariida,1,LightGBM,44.0,129.02702702702703,-85.02702702702703
Textulariida,1,LightGBM,72.0,129.02702702702703,-57.02702702702703
Textulariida,1,LightGBM,1870.0,129.02702702702703,1740.972972972973
Textulariida,2,LightGBM,101.0,66.28518574055099,34.714814259449014
Textulariida,2,LightGBM,139.0,9.88817726348469,129.1118227365153
Textulariida,2,LightGBM,4.0,9.88817726348469,-5.888177263484691
Textulariida,2,LightGBM,137.0,113.08028250876278,23.919717491237222
Textulariida,2,LightGBM,93.0,34.42667631749941,58.57332368250059
Textulariida,2,LightGBM,136.0,135.3542463985262,0.6457536014738139
Textulariida,2,LightGBM,130.0,113.08028250876278,16.919717491237222
reads,0,RF,45571.0,62767.56608573371,-17196.566085733713
reads,0,RF,52170.0,78039.91756195197,-25869.917561951966
reads,0,RF,46733.0,124184.4211174798,-77451.4211174798
reads,0,RF,54126.0,56728.93998634699,-2602.939986346988
reads,0,RF,64258.0,57916.5045365468,6341.495463453197
reads,0,RF,44858.0,76585.01951963315,-31727.019519633148
reads,0,RF,408549.0,65199.51808194584,343349.48191805417
reads,0,RF,342266.0,93890.21475097128,248375.7852490287
reads,0,RF,60525.0,108250.8975807664,-47725.897580766396
reads,0,RF,72569.0,125406.75722782772,-52837.75722782772
reads,0,RF,142616.0,91623.98622265235,50992.013777347645
reads,0,RF,103466.0,129584.32501875902,-26118.325018759017
reads,0,RF,43948.0,149012.69759060384,-105064.69759060384
reads,0,RF,66002.0,118929.54841390552,-52927.54841390552
reads,0,RF,60337.0,60114.91879557941,222.08120442058862
reads,0,RF,63232.0,96705.81850932396,-33473.81850932396
reads,0,RF,83017.0,68666.98793027808,14350.012069721924
reads,0,RF,49853.0,74172.26304066768,-24319.263040667676
reads,0,RF,45306.0,92177.24915789768,-46871.24915789768
reads,0,RF,53179.0,78517.18891440505,-25338.18891440505
reads,0,RF,56140.0,65522.74298154623,-9382.742981546231
reads,0,RF,86438.0,79098.31519351482,7339.68480648518
reads,0,RF,9716.0,68435.56353328617,-58719.56353328617
reads,0,RF,71027.0,150294.55326211284,-79267.55326211284
reads,0,RF,63092.0,63688.63400113776,-596.6340011377615
reads,0,RF,49702.0,88795.33850735375,-39093.33850735375
reads,0,RF,44130.0,145282.3471622544,-101152.34716225439
reads,0,RF,61099.0,72710.61181610059,-11611.611816100587
reads,0,RF,65736.0,83974.70414803253,-18238.704148032528
reads,0,RF,46956.0,91063.1725682512,-44107.172568251204
reads,1,RF,126543.0,55521.19040503691,71021.8095949631
reads,1,RF,60794.0,60534.9593743677,259.0406256322967
reads,1,RF,46414.0,52264.80944460798,-5850.809444607978
reads,1,RF,25403.0,96870.15232028154,-71467.15232028154
reads,1,RF,46027.0,64713.03234157885,-18686.03234157885
reads,1,RF,65715.0,58670.86699989474,7044.133000105263
reads,1,RF,609524.0,72841.2896627275,536682.7103372725
reads,1,RF,247319.0,81621.36203266057,165697.63796733943
reads,1,RF,31923.0,73885.47001592063,-41962.470015920626
reads,1,RF,72088.0,74366.78838914016,-2278.788389140158
reads,1,RF,192597.0,92076.46056009152,100520.53943990848
reads,2,RF,68455.0,70724.27053498905,-2269.2705349890457
reads,2,RF,65040.0,61882.18328770337,3157.8167122966333
reads,2,RF,4623.0,57502.67033831958,-52879.67033831958
reads,2,RF,50657.0,64449.54919413049,-13792.549194130494
reads,2,RF,51314.0,59855.37204034584,-8541.372040345843
reads,2,RF,73611.0,90644.81422459624,-17033.814224596237
reads,2,RF,63353.0,79362.1676582059,-16009.1676582059
shannon,0,LightGBM,5.72550940442,6.1143311394585504,-0.3888217350385501
shannon,0,LightGBM,5.81927646609,6.1143311394585504,-0.2950546733685506
shannon,0,LightGBM,5.83995206668,6.1143311394585504,-0.27437907277855
shannon,0,LightGBM,5.94883211012,6.1143311394585504,-0.16549902933855076
shannon,0,LightGBM,6.16722313951,6.1143311394585504,0.05289200005144945
shannon,0,LightGBM,5.87601280388,6.1143311394585504,-0.2383183355785503
shannon,0,LightGBM,5.70586857906,6.1143311394585504,-0.4084625603985508
shannon,0,LightGBM,5.88327718987,6.1143311394585504,-0.2310539495885502
shannon,0,LightGBM,5.82355137432,6.1143311394585504,-0.2907797651385504
shannon,0,LightGBM,5.87146955931,6.1143311394585504,-0.24286158014855008
shannon,0,LightGBM,5.74901465067,6.1143311394585504,-0.36531648878855005
shannon,0,LightGBM,5.84830531223,6.1143311394585504,-0.2660258272285505
shannon,0,LightGBM,4.97652561028,6.1143311394585504,-1.13780552917855
shannon,0,LightGBM,5.91415635155,6.1143311394585504,-0.20017478790855048
shannon,0,LightGBM,6.03229376964,6.1143311394585504,-0.08203736981855059
shannon,0,LightGBM,6.25890682122,6.1143311394585504,0.14457568176144964
shannon,0,LightGBM,6.03290195862,6.1143311394585504,-0.08142918083855033
shannon,0,LightGBM,5.84929728689,6.1143311394585504,-0.2650338525685507
shannon,0,LightGBM,5.3203148548,6.1143311394585504,-0.7940162846585501
shannon,0,LightGBM,5.65174457165,6.1143311394585504,-0.46258656780855034
shannon,0,LightGBM,5.11492075274,6.1143311394585504,-0.9994103867185506
shannon,0,LightGBM,5.51855661711,6.1143311394585504,-0.5957745223485507
shannon,0,LightGBM,5.69751918977,6.1143311394585504,-0.41681194968855007
shannon,0,LightGBM,5.5858490077,6.1143311394585504,-0.5284821317585502
shannon,0,LightGBM,5.65855152187,6.1143311394585504,-0.4557796175885507
shannon,0,LightGBM,5.85769496939,6.1143311394585504,-0.25663617006855066
shannon,0,LightGBM,5.8832261584,6.1143311394585504,-0.23110498105855015
shannon,0,LightGBM,5.77931622984,6.1143311394585504,-0.3350149096185504
shannon,0,LightGBM,5.85717218765,6.1143311394585504,-0.25715895180855064
