Target,Model,Group,MeanAbsSHAP,Contribution
Rotaliida,LightGBM,Trace Element Gradient (PC1),109.74757563078907,0.04198050743456874
Rotaliida,LightGBM,Trace Element Gradient (PC2),562.7826330346985,0.21527491950839248
Rotaliida,RF,Major Element Gradient (PC1),831.7369780348519,0.15527984606994788
Rotaliida,RF,Major Element Gradient (PC2),814.4111404352952,0.15204522567126297
Rotaliida,RF,Organic-Depth Gradient (PC1),540.8482693057811,0.10097282941949505
Rotaliida,RF,Organic-Depth Gradient (PC2),873.8662950765033,0.1631451136220965
Rotaliida,RF,Sediment Gradient (PC1),826.6656639427505,0.15433306494515717
Rotaliida,RF,Sediment Gradient (PC2),173.0202412792075,0.03230174579504485
Rotaliida,RF,Trace Element Gradient (PC1),668.1448124083041,0.12473826024703726
Rotaliida,RF,Trace Element Gradient (PC2),627.6809074888956,0.11718391422995844
Rotaliida,XGBoost,Major Element Gradient (PC1),3060.4844258626304,0.3553377397964283
Rotaliida,XGBoost,Major Element Gradient (PC2),326.3690935770671,0.03789310446119858
Rotaliida,XGBoost,Organic-Depth Gradient (PC1),313.0576426188151,0.036347577597233886
Rotaliida,XGBoost,Organic-Depth Gradient (PC2),1110.1435953776042,0.1288932930674108
Rotaliida,XGBoost,Sediment Gradient (PC1),1312.9492797851562,0.15244006001262572
Rotaliida,XGBoost,Sediment Gradient (PC2),519.0009969075521,0.06025864390446676
Rotaliida,XGBoost,Trace Element Gradient (PC1),1133.896240234375,0.13165109541604167
Rotaliida,XGBoost,Trace Element Gradient (PC2),836.9874877929688,0.09717848574459417
Textulariida,LightGBM,Major Element Gradient (PC1),0.0,0.0
Textulariida,LightGBM,Major Element Gradient (PC2),15.345212180846147,0.2526267385746929
Textulariida,LightGBM,Organic-Depth Gradient (PC1),13.154610094706058,0.21656306907214623
Textulariida,LightGBM,Organic-Depth Gradient (PC2),4.075499842885134,0.06709455830495874
Textulariida,LightGBM,Sediment Gradient (PC1),0.0,0.0
Textulariida,LightGBM,Sediment Gradient (PC2),3.673522499821617,0.06047684432601413
Textulariida,LightGBM,Trace Element Gradient (PC1),5.7862537860002385,0.09525853440770779
Textulariida,LightGBM,Trace Element Gradient (PC2),18.707530295390907,0.3079802553144801
Textulariida,RF,Major Element Gradient (PC1),41.528652406544445,0.24959260204573938
Textulariida,RF,Major Element Gradient (PC2),7.387162416493786,0.04439780687361329
Textulariida,RF,Organic-Depth Gradient (PC1),6.019015497142834,0.036175065951544426
Textulariida,RF,Organic-Depth Gradient (PC2),9.208694487955327,0.05534545152567538
Textulariida,RF,Sediment Gradient (PC1),5.05673061765494,0.03039160867415864
Textulariida,RF,Sediment Gradient (PC2),3.061824809345019,0.018401965315209518
Textulariida,RF,Trace Element Gradient (PC1),17.259240553365334,0.10373028040681001
