Target,Fold,Model,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
reads,0,Linear,-1.294285613870525,0.7461796118382322,124144.35881262195,67973.2519488008,89339.5297132428,52055.58147391953
reads,0,Ridge,-0.12967274331250445,0.43819421263005265,87112.31875169896,101127.18077770913,66864.67169763368,62504.53162798755
reads,0,RF,-0.1839356428563479,0.8551535055493003,89179.96477732429,51348.62164255006,53422.16107312964,32246.912202417952
reads,0,XGBoost,-0.2033315896987915,1.0,89907.49806328725,0.08409911180478945,51253.4765625,0.0456814244389534
reads,0,LightGBM,-0.08394176316401891,0.0,85330.87982703306,134919.5225952617,62181.499999999985,83716.6296296296
reads,0,GAM,-0.6312576122692113,0.7805701764585666,104680.195357439,63200.80685141593,82624.33525725157,45524.46525324226
reads,1,Linear,-0.1951827611929282,0.24594673004252987,178638.07655709636,65301.4947329587,106722.43864956708,42216.691785179435
reads,1,Ridge,-0.12717511602614717,0.14310840962810922,173481.26087780416,69612.15023246044,95977.3706832694,36134.910448100185
reads,1,RF,-0.1506205751826275,0.6345415430499781,175276.1969539597,45461.22316803292,92861.0112251591,27262.046783457285
reads,1,XGBoost,-0.2333008050918579,0.9999910593032837,181464.38495748967,224.73066344793716,97185.2734375,171.69155883789062
reads,1,LightGBM,-0.14392892484398323,0.0,174765.77791961218,75200.73900443886,96125.09336609337,38207.45653761871
reads,1,GAM,-0.027483423277980146,0.2943652558668227,165632.01514943334,63170.17597344773,104738.70032702877,39700.0005092869
reads,2,Linear,-5.68134671064436,0.30245082475500606,55775.27785519894,94157.08339993402,47012.837218429035,69320.27175329796
reads,2,Ridge,-3.3646352217401825,0.22492845916797521,45079.97998400056,99251.36263375744,35054.70904904454,65465.66619480642
reads,2,RF,-0.11099669379962696,0.7890343689710536,22743.962011894495,51781.11968107958,16240.52295755482,33384.521084737426
reads,2,XGBoost,-0.2283775806427002,1.0,23915.291844340933,0.423291512692655,16485.240234375,0.327005535364151
reads,2,LightGBM,-1.678424624283652,0.15285433673427673,35314.206527269205,103763.50388322404,30092.294320523466,66865.87428782748
reads,2,GAM,-1.6960244083784897,0.5768664017930558,35430.040429762135,73333.82505455786,31176.118456803,51830.979657813135
zotu,0,Linear,-1.4011646324793436,0.6892456181371127,1835.3739842553373,954.7357337457864,1481.086149899639,850.8684064647584
zotu,0,Ridge,-0.3336940786253566,0.3834843275121135,1367.8602023247556,1344.7656514112525,1135.6654228392524,982.5306326346303
zotu,0,RF,-0.5431725824857991,0.8420114037648665,1471.3664593197984,680.7496349690665,1179.1176262783515,502.05095101657594
zotu,0,XGBoost,-0.6147838830947876,0.9999377727508545,1505.1188491278688,13.509427769964018,1144.4302978515625,10.8660888671875
zotu,0,LightGBM,-0.20889978402237075,0.0,1302.2931389487876,1712.6733777242619,1058.525925925926,1268.4197530864196
zotu,0,GAM,-1.3213488195170346,0.7918708164691193,1804.611850728609,781.3417614257697,1536.2267983153363,670.0263465825708
zotu,1,Linear,-0.043000341273824905,0.13885260729376836,2050.8481271841133,1096.1688212855079,1386.9615317047123,828.1492249402336
zotu,1,Ridge,-0.03466323838406882,0.07506059171335155,2042.6350727867778,1136.0444945787995,1335.2610342978267,826.6742431454902
zotu,1,RF,-0.024753990287911476,0.6993101078003865,2032.8301073898847,647.736118235528,1362.6839905653362,540.1568748487564
zotu,1,XGBoost,-0.05866110324859619,0.9999985694885254,2066.18755199038,1.4227046013564963,1444.4979248046875,1.0674190521240234
zotu,1,LightGBM,-0.06425136569462087,0.0,2071.635684603295,1181.241508678962,1365.6068796068796,848.3038714390066
zotu,1,GAM,0.11808455060963718,0.22005766937787274,1885.8395975740098,1043.2056861064173,1276.7364011869115,767.0289524209296
zotu,2,Linear,-1.1504955055446162,0.28147650376001887,1602.365788854174,1250.9804542633658,1365.3194043887966,928.6691961609201
zotu,2,Ridge,-0.673396879039367,0.1988138068894728,1413.487173006862,1320.9815903854244,1121.1891518364234,940.4967981498767
zotu,2,RF,-0.1995077482277272,0.7032122746443671,1196.7237862940644,803.9943644587199,1007.1513400754603,618.6801216270284
zotu,2,XGBoost,-0.6637927293777466,0.9999920129776001,1409.425104430881,4.17593403493002,1206.3221435546875,2.9761486053466797
zotu,2,LightGBM,-0.30105472271381406,0.0998202606925257,1246.350453803098,1400.2147682464358,1058.5271294955812,973.3126733286405
zotu,2,GAM,-1.1290344749185377,0.5271614218480059,1594.3502762839328,1014.8140896413587,1357.121016987106,741.1967954573128
shannon,0,Linear,-6.416250628060622,0.6141527900621095,0.7152679522967361,0.2293174189950891,0.5855901267476699,0.2020572718913209
shannon,0,Ridge,-2.044594295208854,0.24043372151501463,0.4582909512962725,0.32174529205563496,0.37133606310976397,0.27177237055853865
shannon,0,RF,-2.1834761923234742,0.7611673929340399,0.46862706909885987,0.18041646643639142,0.38383695036356663,0.1573378744594831
shannon,0,XGBoost,-3.2437508957008987,0.9999716240482808,0.5410675762861854,0.0019665481357880746,0.4363351107557245,0.0016717696727946614
shannon,0,LightGBM,-1.7374293731406945,-6.439293542825908e-15,0.4345582799711701,0.36917251734640616,0.35936697053207706,0.3154523595935668
shannon,0,GAM,-5.645090070917342,0.6717765811650029,0.6770597612767095,0.21150183778111623,0.5583929407115502,0.18387019108804514
shannon,1,Linear,-3.44679098618228,0.24633540387022157,0.38649711662481584,0.3345519138867714,0.35337868935037997,0.23655020994688059
shannon,1,Ridge,-1.011917346122078,0.1725215517109704,0.2599728333855339,0.35055228890702056,0.20936174682340314,0.2432369825956397
shannon,1,RF,-1.2615232270161845,0.6181400342196999,0.27562805867206724,0.23813680695556916,0.22029686866516995,0.17101228646105532
shannon,1,XGBoost,-3.4946587057604646,0.9989849106280838,0.3885717828051776,0.012277970958993085,0.34912346946436085,0.009709444854742896
shannon,1,LightGBM,-0.023906818633215643,1.1102230246251565e-16,0.18546122223383518,0.38536694617673023,0.15106067994368272,0.27120152241455503
shannon,1,GAM,-3.6645493302448315,0.3835294704511286,0.39584735296442236,0.3025733136081556,0.3489519322666361,0.21209963224908354
shannon,2,Linear,-9.657057118097589,0.13287327831121964,0.8534917343746318,0.2314511669107828,0.7804894629137701,0.16730247296880682
shannon,2,Ridge,-7.8975601093267045,0.0847080348347653,0.7798590891398856,0.23779236967556774,0.7218425605577884,0.1624678230729629
shannon,2,RF,-8.425304417819932,0.6102853426286281,0.8026539842159823,0.15516417615826017,0.7400727124111741,0.11294045319926203
shannon,2,XGBoost,-8.866896504402995,0.9999917361482283,0.8212416355511978,0.0007145117073420629,0.7539647021482772,0.0004989127130587642
shannon,2,LightGBM,-7.832185691141371,0.14933999132877152,0.7769888175298897,0.22924300773953266,0.7155088687887686,0.16340025542576134
shannon,2,GAM,-11.19233434259453,0.23967412536225308,0.9129018866169183,0.21672947297712383,0.8223380685548367,0.148149255322249
simpson,0,Linear,-0.4921973514988869,0.27714433772203895,0.019235038282389618,0.007006848689537955,0.012717294818217392,0.0059213758012170315
simpson,0,Ridge,-0.350990063749012,0.07108876885436766,0.018302313918296165,0.007942990670023664,0.010241428829826326,0.006659107892915029
simpson,0,RF,-0.5479814554931906,0.7615940938064033,0.019591279447713012,0.004023976637805621,0.011692002896881437,0.0035050109471405754
simpson,0,XGBoost,-0.9409866798142503,0.9945273603261364,0.021937705400830294,0.0006096707686447331,0.014053282580607748,0.0004952301289270365
simpson,0,LightGBM,-0.31156623278847184,-3.1952218648712005e-13,0.018033292875377385,0.008241323186901961,0.010191575957955968,0.006875923532994599
simpson,0,GAM,-9.866102059506238,-0.676169696835397,0.051905910372131735,0.010669791624032943,0.03366835207798203,0.00920971453277101
simpson,1,Linear,-2.579824329701112,0.16674597511631783,0.01696587255066745,0.013845480913589987,0.013723724363115237,0.00886582059893871
simpson,1,Ridge,-0.8838465853274582,0.10582182759164682,0.012307450810586481,0.01434271495215426,0.01030089220799879,0.008885606714908012
simpson,1,RF,-2.3427935174248615,0.5547545291471699,0.016394573314361734,0.010120898988701882,0.014012133820873608,0.0061508400216536245
simpson,1,XGBoost,-1.6421868893477467,0.997393112653057,0.014575622411628918,0.0007744269665887648,0.01226253371198869,0.0006064144371672584
simpson,1,LightGBM,-0.19569158333596404,-4.8405723873656825e-14,0.00980516550414145,0.015167686204341117,0.007565355226755257,0.009547204307588403
