Target,Fold,Group,PC,Variable,Loading
reads,1,Trace,PC1,Ni,0.44413957352874756
reads,1,Trace,PC1,Cu,0.38880861332070354
reads,1,Trace,PC1,Zn,0.10556632645969025
reads,1,Trace,PC1,Ga,0.050121265629695294
reads,1,Trace,PC1,As,-0.03154044331220957
reads,1,Trace,PC1,Rb,-0.20772468052115156
reads,1,Trace,PC2,Sc,0.2903286888131977
reads,1,Trace,PC2,Ti,0.3274830412619677
reads,1,Trace,PC2,V,0.35078404570650634
reads,1,Trace,PC2,Cr,0.19022580220036509
reads,1,Trace,PC2,Mn,0.08848789547577174
reads,1,Trace,PC2,Co,0.37672798147921743
reads,1,Trace,PC2,Ni,0.04895200247224748
reads,1,Trace,PC2,Cu,0.14777981324800904
reads,1,Trace,PC2,Zn,0.4486781891972213
reads,1,Trace,PC2,Ga,0.3969905625591713
reads,1,Trace,PC2,As,-0.27453600490276725
reads,1,Trace,PC2,Rb,-0.2023756753113159
reads,1,Organic,PC1,Chlorophyll a,-0.1740674304214124
reads,1,Organic,PC1,Depth,-0.003743018114375463
reads,1,Organic,PC1,N,0.5645184100939136
reads,1,Organic,PC1,C,0.5596710648894131
reads,1,Organic,PC1,S1,0.5419426255704167
reads,1,Organic,PC1,P,-0.17972269229778276
reads,1,Organic,PC1,S2,0.09793838345021291
reads,1,Organic,PC1,Cl,0.04668833668820694
reads,1,Organic,PC2,Chlorophyll a,-0.011879067508654882
reads,1,Organic,PC2,Depth,-0.44009234479224424
reads,1,Organic,PC2,N,-0.19170758604006372
reads,1,Organic,PC2,C,-0.1560018312457714
reads,1,Organic,PC2,S1,0.11723219759413175
reads,1,Organic,PC2,P,-0.22207607622481157
reads,1,Organic,PC2,S2,0.6765353691577632
reads,1,Organic,PC2,Cl,0.4736327357852902
reads,2,Sediment,PC1,Grain Size,0.36669212513564037
reads,2,Sediment,PC1,Sorting,0.4699615792524768
reads,2,Sediment,PC1,Skewness,-0.40393607796337755
reads,2,Sediment,PC1,Kurtosis,-0.4539034619059242
reads,2,Sediment,PC1,Clay Content,0.137845378549359
reads,2,Sediment,PC1,Silt Content,-0.38285456081075625
reads,2,Sediment,PC1,Sand Content,0.3315136927162954
reads,2,Sediment,PC2,Grain Size,-0.4599768810721373
reads,2,Sediment,PC2,Sorting,-0.0421502370678438
reads,2,Sediment,PC2,Skewness,-0.20967753910964015
reads,2,Sediment,PC2,Kurtosis,-0.15730979012198018
reads,2,Sediment,PC2,Clay Content,0.6605669236829618
reads,2,Sediment,PC2,Silt Content,-0.25139033482353484
reads,2,Sediment,PC2,Sand Content,-0.46731983139207434
reads,2,Major,PC1,Na2O,0.21461512327354032
reads,2,Major,PC1,MgO,0.33994371426163544
reads,2,Major,PC1,Al2O3,0.4960781452430057
reads,2,Major,PC1,SiO2,-0.3091483964432397
reads,2,Major,PC1,K2O,0.501877411969422
reads,2,Major,PC1,CaO,0.12471860907067434
reads,2,Major,PC1,Fe2O3,0.47882846061138723
reads,2,Major,PC2,Na2O,0.6188933866665152
reads,2,Major,PC2,MgO,-0.4215135634202088
reads,2,Major,PC2,Al2O3,0.03963459191195866
reads,2,Major,PC2,SiO2,-0.5116123053331522
reads,2,Major,PC2,K2O,-0.1659578621909462
reads,2,Major,PC2,CaO,-0.3774498515237795
reads,2,Major,PC2,Fe2O3,-0.07725825205508381
reads,2,Trace,PC1,Sc,0.29832639484978274
reads,2,Trace,PC1,Ti,0.37654108183446766
reads,2,Trace,PC1,V,0.35461600379317365
reads,2,Trace,PC1,Cr,0.22215743742900315
reads,2,Trace,PC1,Mn,0.1415980447657485
reads,2,Trace,PC1,Co,0.4026976782308993
reads,2,Trace,PC1,Ni,0.11825835543397455
reads,2,Trace,PC1,Cu,0.32815214166862544
reads,2,Trace,PC1,Zn,0.4780485882655194
reads,2,Trace,PC1,Ga,0.23012763797480887
reads,2,Trace,PC1,As,-0.07999885138204749
reads,2,Trace,PC1,Rb,-0.04835749068072828
reads,2,Trace,PC2,Sc,0.027143153284455428
reads,2,Trace,PC2,Ti,-0.34634530510107586
reads,2,Trace,PC2,V,-0.27086316243611674
reads,2,Trace,PC2,Cr,-0.3816762175088069
reads,2,Trace,PC2,Mn,0.41458270727731145
reads,2,Trace,PC2,Co,0.10326476057047346
reads,2,Trace,PC2,Ni,0.4445851462359856
reads,2,Trace,PC2,Cu,0.2449860566816722
reads,2,Trace,PC2,Zn,-0.029829534438126786
reads,2,Trace,PC2,Ga,0.21019508344715435
reads,2,Trace,PC2,As,-0.24052778455757642
reads,2,Trace,PC2,Rb,-0.3422318651762259
reads,2,Organic,PC1,Chlorophyll a,-0.2227291837870696
reads,2,Organic,PC1,Depth,-0.17200070307193338
reads,2,Organic,PC1,N,0.5693827333573029
reads,2,Organic,PC1,C,0.5600411229143452
reads,2,Organic,PC1,S1,0.5287202793629118
reads,2,Organic,PC1,P,0.026662456499383813
reads,2,Organic,PC1,S2,0.017030670844818404
reads,2,Organic,PC1,Cl,-0.04917975483988014
reads,2,Organic,PC2,Chlorophyll a,0.2059406554845042
reads,2,Organic,PC2,Depth,-0.386364037532231
reads,2,Organic,PC2,N,-0.08034858357109381
reads,2,Organic,PC2,C,-0.04923431367123026
reads,2,Organic,PC2,S1,0.1425466245072629
reads,2,Organic,PC2,P,-0.26367531843439046
reads,2,Organic,PC2,S2,0.6458044709704773
reads,2,Organic,PC2,Cl,0.5408546347776808
zotu,0,Sediment,PC1,Grain Size,0.3763665040444927
zotu,0,Sediment,PC1,Sorting,0.48979108992434467
zotu,0,Sediment,PC1,Skewness,-0.47852455439196456
zotu,0,Sediment,PC1,Kurtosis,-0.4769632509983867
zotu,0,Sediment,PC1,Clay Content,0.06749987107542248
zotu,0,Sediment,PC1,Silt Content,-0.20093569892406063
zotu,0,Sediment,PC1,Sand Content,0.34211381616031195
zotu,0,Sediment,PC2,Grain Size,-0.39800432209468245
zotu,0,Sediment,PC2,Sorting,0.03550825846079007
zotu,0,Sediment,PC2,Skewness,-0.0789831492481573
zotu,0,Sediment,PC2,Kurtosis,-0.1487127578000141
zotu,0,Sediment,PC2,Clay Content,0.6107256087616465
zotu,0,Sediment,PC2,Silt Content,-0.5476411365187469
zotu,0,Sediment,PC2,Sand Content,-0.37293607679140295
zotu,0,Major,PC1,Na2O,0.24947346067544707
zotu,0,Major,PC1,MgO,0.3154018025847987
zotu,0,Major,PC1,Al2O3,0.4230888398915562
zotu,0,Major,PC1,SiO2,-0.3377116707959455
zotu,0,Major,PC1,K2O,0.4409455463181006
zotu,0,Major,PC1,CaO,-0.4171506374848606
zotu,0,Major,PC1,Fe2O3,0.4204565698624652
zotu,0,Major,PC2,Na2O,0.6326733860044846
zotu,0,Major,PC2,MgO,-0.47864001650479854
zotu,0,Major,PC2,Al2O3,0.03633245815046175
zotu,0,Major,PC2,SiO2,-0.5270256353201622
zotu,0,Major,PC2,K2O,-0.2691344403134011
zotu,0,Major,PC2,CaO,0.08800462050608616
zotu,0,Major,PC2,Fe2O3,-0.10664845638265597
zotu,0,Trace,PC1,Sc,-0.10614986068209092
zotu,0,Trace,PC1,Ti,-0.3737672779070828
zotu,0,Trace,PC1,V,-0.34122125979576506
zotu,0,Trace,PC1,Cr,-0.3354783060306718
zotu,0,Trace,PC1,Mn,0.4006534039785652
zotu,0,Trace,PC1,Co,0.1752698672215134
zotu,0,Trace,PC1,Ni,0.4018481302969559
zotu,0,Trace,PC1,Cu,0.3988435966095598
zotu,0,Trace,PC1,Zn,0.2810794882726558
zotu,0,Trace,PC1,Ga,-0.09252342681802962
zotu,0,Trace,PC1,As,0.12162071110859254
zotu,0,Trace,PC1,Rb,-0.07677184136054568
zotu,0,Trace,PC2,Sc,0.13548052432186108
zotu,0,Trace,PC2,Ti,0.04891195620906137
zotu,0,Trace,PC2,V,-0.0060786366315919525
zotu,0,Trace,PC2,Cr,0.11740846938061451
zotu,0,Trace,PC2,Mn,-0.0396421251701263
zotu,0,Trace,PC2,Co,0.22022933017558646
zotu,0,Trace,PC2,Ni,-0.06486341406513942
zotu,0,Trace,PC2,Cu,-0.021601070175096077
zotu,0,Trace,PC2,Zn,0.029348931081948696
zotu,0,Trace,PC2,Ga,-0.5285314751292983
zotu,0,Trace,PC2,As,0.5594868728832668
zotu,0,Trace,PC2,Rb,0.5634289520449685
zotu,0,Organic,PC1,Chlorophyll a,-0.3097954072658422
zotu,0,Organic,PC1,Depth,-0.13300598597089527
zotu,0,Organic,PC1,N,0.5359984249254246
zotu,0,Organic,PC1,C,0.5367486259412684
zotu,0,Organic,PC1,S1,0.5229733489853156
zotu,0,Organic,PC1,P,0.0017954097031886807
zotu,0,Organic,PC1,S2,-0.0350401611075087
zotu,0,Organic,PC1,Cl,-0.19029097252672456
zotu,0,Organic,PC2,Chlorophyll a,0.2920794783575667
zotu,0,Organic,PC2,Depth,-0.24659500681874238
zotu,0,Organic,PC2,N,0.0963726231921827
zotu,0,Organic,PC2,C,0.11112440897364208
zotu,0,Organic,PC2,S1,0.12832556422619004
zotu,0,Organic,PC2,P,-0.39256609097923634
zotu,0,Organic,PC2,S2,0.6298462671733204
zotu,0,Organic,PC2,Cl,0.5147448471533237
zotu,1,Sediment,PC1,Grain Size,0.40039353197712085
zotu,1,Sediment,PC1,Sorting,0.47253885765841774
zotu,1,Sediment,PC1,Skewness,-0.38874236761652625
zotu,1,Sediment,PC1,Kurtosis,-0.4458009395760746
zotu,1,Sediment,PC1,Clay Content,0.03510847636446331
zotu,1,Sediment,PC1,Silt Content,-0.3625763880149846
zotu,1,Sediment,PC1,Sand Content,0.3658397178931288
zotu,1,Sediment,PC2,Grain Size,-0.39283767830502303
zotu,1,Sediment,PC2,Sorting,-0.006250434822243185
zotu,1,Sediment,PC2,Skewness,-0.2170584195694914
zotu,1,Sediment,PC2,Kurtosis,-0.21530086994516517
zotu,1,Sediment,PC2,Clay Content,0.703936870228388
zotu,1,Sediment,PC2,Silt Content,-0.29320052124956353
zotu,1,Sediment,PC2,Sand Content,-0.4131307366141473
zotu,1,Major,PC1,Na2O,0.20068160419809805
zotu,1,Major,PC1,MgO,0.3804072407843626
zotu,1,Major,PC1,Al2O3,0.49449787828941744
