Target,Model,Fold1,Fold2,SpearmanR
Textulariida,XGBoost,3,4,0.09523809523809526
reads,LightGBM,0,1,
reads,LightGBM,0,2,
reads,LightGBM,0,3,
reads,LightGBM,0,4,
reads,LightGBM,1,2,
reads,LightGBM,1,3,
reads,LightGBM,1,4,
reads,LightGBM,2,3,
reads,LightGBM,2,4,
reads,LightGBM,3,4,
reads,RF,0,1,0.5714285714285715
reads,RF,0,2,0.4523809523809524
reads,RF,0,3,0.19047619047619052
reads,RF,0,4,0.5476190476190477
reads,RF,1,2,-0.3333333333333334
reads,RF,1,3,-0.11904761904761905
reads,RF,1,4,-0.023809523809523815
reads,RF,2,3,0.7142857142857144
reads,RF,2,4,0.261904761904762
reads,RF,3,4,-0.11904761904761905
reads,XGBoost,0,1,0.6428571428571429
reads,XGBoost,0,2,-0.023809523809523815
reads,XGBoost,0,3,0.4047619047619048
reads,XGBoost,0,4,0.5000000000000001
reads,XGBoost,1,2,0.04761904761904763
reads,XGBoost,1,3,-0.2380952380952381
reads,XGBoost,1,4,0.38095238095238104
reads,XGBoost,2,3,0.09523809523809526
reads,XGBoost,2,4,0.0
reads,XGBoost,3,4,0.3333333333333334
shannon,LightGBM,0,1,
shannon,LightGBM,0,2,
shannon,LightGBM,0,3,
shannon,LightGBM,0,4,
shannon,LightGBM,1,2,
shannon,LightGBM,1,3,
shannon,LightGBM,1,4,
shannon,LightGBM,2,3,
shannon,LightGBM,2,4,
shannon,LightGBM,3,4,
shannon,RF,0,1,-0.023809523809523815
shannon,RF,0,2,-0.7142857142857144
shannon,RF,0,3,0.523809523809524
shannon,RF,0,4,0.261904761904762
shannon,RF,1,2,0.11904761904761905
shannon,RF,1,3,0.2142857142857143
shannon,RF,1,4,0.4047619047619048
shannon,RF,2,3,0.09523809523809526
shannon,RF,2,4,-0.5476190476190477
shannon,RF,3,4,-0.14285714285714288
shannon,XGBoost,0,1,0.261904761904762
shannon,XGBoost,0,2,-0.04761904761904763
shannon,XGBoost,0,3,-0.30952380952380953
shannon,XGBoost,0,4,0.11904761904761905
shannon,XGBoost,1,2,0.6190476190476191
shannon,XGBoost,1,3,0.28571428571428575
shannon,XGBoost,1,4,0.09523809523809526
shannon,XGBoost,2,3,0.30952380952380953
shannon,XGBoost,2,4,-0.11904761904761905
shannon,XGBoost,3,4,0.523809523809524
simpson,LightGBM,0,1,
simpson,LightGBM,0,2,
simpson,LightGBM,0,3,
simpson,LightGBM,0,4,
simpson,LightGBM,1,2,
simpson,LightGBM,1,3,
simpson,LightGBM,1,4,
simpson,LightGBM,2,3,
simpson,LightGBM,2,4,
simpson,LightGBM,3,4,
simpson,RF,0,1,-0.07142857142857144
simpson,RF,0,2,-0.09523809523809526
simpson,RF,0,3,-0.5000000000000001
simpson,RF,0,4,-0.2380952380952381
simpson,RF,1,2,0.5476190476190477
simpson,RF,1,3,0.0
simpson,RF,1,4,-0.11904761904761905
simpson,RF,2,3,0.5952380952380953
simpson,RF,2,4,-0.09523809523809526
simpson,RF,3,4,0.261904761904762
simpson,XGBoost,0,1,-0.07142857142857144
simpson,XGBoost,0,2,-0.4761904761904762
simpson,XGBoost,0,3,-0.38095238095238104
simpson,XGBoost,0,4,-0.11904761904761905
simpson,XGBoost,1,2,0.19047619047619052
simpson,XGBoost,1,3,0.4285714285714286
simpson,XGBoost,1,4,-0.19047619047619052
simpson,XGBoost,2,3,0.2142857142857143
simpson,XGBoost,2,4,-0.04761904761904763
simpson,XGBoost,3,4,-0.38095238095238104
zotu,LightGBM,0,1,
zotu,LightGBM,0,2,
zotu,LightGBM,0,3,
zotu,LightGBM,0,4,
zotu,LightGBM,1,2,
zotu,LightGBM,1,3,
zotu,LightGBM,1,4,
zotu,LightGBM,2,3,
zotu,LightGBM,2,4,
zotu,LightGBM,3,4,
zotu,RF,0,1,0.5476190476190477
zotu,RF,0,2,0.6904761904761906
zotu,RF,0,3,0.5952380952380953
zotu,RF,0,4,0.023809523809523815
zotu,RF,1,2,-0.09523809523809526
zotu,RF,1,3,0.5952380952380953
zotu,RF,1,4,-0.19047619047619052
zotu,RF,2,3,0.261904761904762
zotu,RF,2,4,0.5476190476190477
zotu,RF,3,4,-0.14285714285714288
zotu,XGBoost,0,1,0.6428571428571429
zotu,XGBoost,0,2,0.261904761904762
zotu,XGBoost,0,3,0.1666666666666667
zotu,XGBoost,0,4,-0.04761904761904763
zotu,XGBoost,1,2,0.2380952380952381
zotu,XGBoost,1,3,0.0
zotu,XGBoost,1,4,-0.6428571428571429
zotu,XGBoost,2,3,0.7619047619047621
zotu,XGBoost,2,4,0.07142857142857144
zotu,XGBoost,3,4,0.11904761904761905
