Target,Model,Fold,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
shannon,LightGBM,2.0,-0.07184077750707844,-2.042810365310288e-15,0.3362916588425773,0.34858080871101793,0.24863078007384623,0.24146167061975232
shannon,Linear,2.0,-0.7630762748886298,0.13914455594048342,0.3900880524708045,0.3231070528615542,0.29578910378786943,0.23258570823438304
shannon,RF,2.0,-0.23303512675847732,0.5996903427950357,0.3486084169027407,0.22031105265350753,0.26518476419557213,0.15793503369296585
shannon,Ridge,2.0,-0.23047225947378092,0.09945911333390436,0.34773837422341614,0.3306927945936827,0.2536938930372742,0.2287056191961868
shannon,XGBoost,2.0,-0.5427314650944683,0.9994221587300858,0.38633018213176806,0.0062916318489718405,0.2926093263675781,0.004562497517172474
simpson,GAM,2.0,-1.7556002727892583,0.2569634668560052,0.015840912782110302,0.0119114984776025,0.012128932605980256,0.007782577016424907
simpson,LightGBM,2.0,-0.07634772363423785,-5.666578317686799e-14,0.011989559019324216,0.013785851233577739,0.008922868162269944,0.00893800518043725
simpson,Linear,2.0,-1.2414073235782102,0.11502069201920646,0.014965079606818676,0.012962447327144817,0.010726271116907646,0.008462802015935782
simpson,RF,2.0,-0.5394410029932993,0.5473083840185418,0.013326956881192842,0.009285299693681357,0.010029172715209252,0.005992448334887808
simpson,Ridge,2.0,-0.21946428506963866,0.05799097607681183,0.012395326053427507,0.013377566515153571,0.009233806971446379,0.008620592765984744
simpson,XGBoost,2.0,-0.8043382866572089,0.995697209091715,0.014370880543354735,0.0007871510003256631,0.0111376088016611,0.0005811630682507172
zotu,GAM,2.0,-0.6898011392295313,0.5082644400646243,1557.621743694071,989.5737399542517,1205.584883145528,734.3251305923823
zotu,LightGBM,2.0,-0.32242590262007914,0.0,1410.30006675016,1421.5782009639647,1015.1952586594691,997.697536611174
zotu,Linear,2.0,-1.0779086901065573,0.31501054469772655,1685.6621968243276,1171.0515517255603,1310.5444702091681,887.993320730569
zotu,RF,2.0,-0.7613939769468765,0.6703265137780499,1605.5345589119904,813.502988744797,1187.0879886654047,630.9220733719785
zotu,Ridge,2.0,-0.5191146794949624,0.21255927204192568,1506.9224522431352,1256.983381314741,1074.4021798541164,916.2175248474474
zotu,XGBoost,2.0,-1.3070075750350951,0.999972128868103,1862.1915949000243,5.437547631184284,1390.4506103515625,4.216221284121275
