alpha,Model,Target,Fold,max_depth,min_samples_leaf,min_samples_split,n_estimators,learning_rate
,RF,Monothalamida,0,3.0,1.0,5.0,500.0,
,XGBoost,Monothalamida,0,3.0,,,500.0,0.1
,LightGBM,Monothalamida,0,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,1,,,,,
,RF,Monothalamida,1,5.0,2.0,2.0,200.0,
,XGBoost,Monothalamida,1,3.0,,,200.0,0.05
,LightGBM,Monothalamida,1,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,2,,,,,
,RF,Monothalamida,2,3.0,1.0,2.0,200.0,
,XGBoost,Monothalamida,2,5.0,,,200.0,0.1
,LightGBM,Monothalamida,2,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,3,,,,,
,RF,Monothalamida,3,3.0,1.0,5.0,500.0,
,XGBoost,Monothalamida,3,3.0,,,200.0,0.05
,LightGBM,Monothalamida,3,3.0,,,100.0,0.05
100.0,Ridge,Monothalamida,4,,,,,
,RF,Monothalamida,4,3.0,1.0,2.0,200.0,
,XGBoost,Monothalamida,4,3.0,,,500.0,0.1
,LightGBM,Monothalamida,4,3.0,,,100.0,0.05
100.0,Ridge,Miliolida,0,,,,,
,RF,Miliolida,0,3.0,1.0,5.0,200.0,
,XGBoost,Miliolida,0,3.0,,,200.0,0.1
,LightGBM,Miliolida,0,3.0,,,100.0,0.05
100.0,Ridge,Miliolida,1,,,,,
,RF,Miliolida,1,3.0,2.0,2.0,200.0,
,XGBoost,Miliolida,1,3.0,,,500.0,0.05
,LightGBM,Miliolida,1,3.0,,,100.0,0.05
100.0,Ridge,Miliolida,2,,,,,
,RF,Miliolida,2,3.0,1.0,5.0,200.0,
,XGBoost,Miliolida,2,5.0,,,200.0,0.05
,LightGBM,Miliolida,2,3.0,,,100.0,0.05
100.0,Ridge,Miliolida,3,,,,,
,RF,Miliolida,3,3.0,1.0,5.0,200.0,
,XGBoost,Miliolida,3,5.0,,,200.0,0.05
,LightGBM,Miliolida,3,3.0,,,100.0,0.05
100.0,Ridge,Miliolida,4,,,,,
,RF,Miliolida,4,3.0,1.0,2.0,200.0,
,XGBoost,Miliolida,4,3.0,,,500.0,0.05
,LightGBM,Miliolida,4,3.0,,,100.0,0.05
100.0,Ridge,Other,0,,,,,
,RF,Other,0,3.0,1.0,5.0,200.0,
,XGBoost,Other,0,5.0,,,200.0,0.05
,LightGBM,Other,0,3.0,,,100.0,0.05
100.0,Ridge,Other,1,,,,,
,RF,Other,1,5.0,2.0,2.0,200.0,
,XGBoost,Other,1,3.0,,,200.0,0.1
,LightGBM,Other,1,3.0,,,100.0,0.05
100.0,Ridge,Other,2,,,,,
,RF,Other,2,3.0,1.0,2.0,200.0,
,XGBoost,Other,2,5.0,,,200.0,0.1
,LightGBM,Other,2,3.0,,,100.0,0.05
100.0,Ridge,Other,3,,,,,
,RF,Other,3,3.0,1.0,5.0,500.0,
,XGBoost,Other,3,3.0,,,200.0,0.1
,LightGBM,Other,3,3.0,,,100.0,0.05
100.0,Ridge,Other,4,,,,,
,RF,Other,4,3.0,1.0,2.0,200.0,
,XGBoost,Other,4,5.0,,,200.0,0.05
,LightGBM,Other,4,3.0,,,100.0,0.05
