Target,Fold,Group,PC,ExplainedVarianceRatio
simpson,2,Major,PC2,0.24038998510052503
simpson,2,Trace,PC1,0.4403229273337855
simpson,2,Trace,PC2,0.2281246206123667
simpson,2,Organic,PC1,0.3573020246001942
simpson,2,Organic,PC2,0.1874184633941196
simpson,3,Sediment,PC1,0.6108369241501829
simpson,3,Sediment,PC2,0.28016890042184867
simpson,3,Major,PC1,0.5202710838569543
simpson,3,Major,PC2,0.24169111848949884
simpson,3,Trace,PC1,0.36685655847233695
simpson,3,Trace,PC2,0.2361855583611644
simpson,3,Organic,PC1,0.3704224230394601
simpson,3,Organic,PC2,0.19860221865708458
simpson,4,Sediment,PC1,0.6142934048447951
simpson,4,Sediment,PC2,0.27962774628114445
simpson,4,Major,PC1,0.473970199045372
simpson,4,Major,PC2,0.28099185026408635
simpson,4,Trace,PC1,0.31535618897024614
simpson,4,Trace,PC2,0.26546308165623106
simpson,4,Organic,PC1,0.36007100527748304
simpson,4,Organic,PC2,0.21779511085493342
Rotaliida,0,Sediment,PC1,0.6079485491620205
Rotaliida,0,Sediment,PC2,0.2517391127520033
Rotaliida,0,Major,PC1,0.5350120711480384
Rotaliida,0,Major,PC2,0.22424818176769198
Rotaliida,0,Trace,PC1,0.3675861484718488
Rotaliida,0,Trace,PC2,0.2446312414932678
Rotaliida,0,Organic,PC1,0.35224152948027193
Rotaliida,0,Organic,PC2,0.21460662987001683
Rotaliida,1,Sediment,PC1,0.6166697238849834
Rotaliida,1,Sediment,PC2,0.2788853938050526
Rotaliida,1,Major,PC1,0.5399941571749127
Rotaliida,1,Major,PC2,0.20562171618413752
Rotaliida,1,Trace,PC1,0.3798725677146045
Rotaliida,1,Trace,PC2,0.26297549831042444
Rotaliida,1,Organic,PC1,0.3866711237265266
Rotaliida,1,Organic,PC2,0.20157491482526682
Rotaliida,2,Sediment,PC1,0.6060468833643767
Rotaliida,2,Sediment,PC2,0.33488904231829286
Rotaliida,2,Major,PC1,0.4984972548629905
Rotaliida,2,Major,PC2,0.24038998510052503
Rotaliida,2,Trace,PC1,0.4403229273337855
Rotaliida,2,Trace,PC2,0.2281246206123667
Rotaliida,2,Organic,PC1,0.3573020246001942
Rotaliida,2,Organic,PC2,0.1874184633941196
Rotaliida,3,Sediment,PC1,0.6108369241501829
Rotaliida,3,Sediment,PC2,0.28016890042184867
Rotaliida,3,Major,PC1,0.5202710838569543
Rotaliida,3,Major,PC2,0.24169111848949884
Rotaliida,3,Trace,PC1,0.36685655847233695
Rotaliida,3,Trace,PC2,0.2361855583611644
Rotaliida,3,Organic,PC1,0.3704224230394601
Rotaliida,3,Organic,PC2,0.19860221865708458
Rotaliida,4,Sediment,PC1,0.6142934048447951
Rotaliida,4,Sediment,PC2,0.27962774628114445
Rotaliida,4,Major,PC1,0.473970199045372
Rotaliida,4,Major,PC2,0.28099185026408635
Rotaliida,4,Trace,PC1,0.31535618897024614
