Target,Fold,Model,Observed,Predicted
reads,2,RF,52170.0,69465.76311209168
reads,2,RF,46733.0,79290.55202619541
reads,2,RF,408549.0,92041.40631076622
reads,2,RF,60525.0,93218.53011964
reads,2,RF,142616.0,63448.5474695251
reads,2,RF,49853.0,89470.27110430892
reads,2,RF,63092.0,87713.19379254257
reads,2,RF,44130.0,230036.53033439757
reads,2,RF,65040.0,68355.77211666793
reads,2,XGBoost,46414.0,49151.48046875
reads,2,XGBoost,52170.0,74753.625
reads,2,XGBoost,46733.0,161759.71875
reads,2,XGBoost,408549.0,51271.34375
reads,2,XGBoost,60525.0,46004.203125
reads,2,XGBoost,142616.0,47512.796875
reads,2,XGBoost,49853.0,71032.3046875
reads,2,XGBoost,63092.0,65809.75
reads,2,XGBoost,44130.0,156240.71875
reads,2,XGBoost,65040.0,12108.8134765625
reads,2,LightGBM,46414.0,88918.28947368421
reads,2,LightGBM,52170.0,88918.28947368421
reads,2,LightGBM,46733.0,88918.28947368421
reads,2,LightGBM,408549.0,88918.28947368421
reads,2,LightGBM,60525.0,88918.28947368421
reads,2,LightGBM,142616.0,88918.28947368421
reads,2,LightGBM,49853.0,88918.28947368421
reads,2,LightGBM,63092.0,88918.28947368421
reads,2,LightGBM,44130.0,88918.28947368421
reads,2,LightGBM,65040.0,88918.28947368421
reads,2,GAM,46414.0,73306.22889661984
reads,2,GAM,52170.0,49526.09811552284
reads,2,GAM,46733.0,55187.696352291576
reads,2,GAM,408549.0,104695.95343412235
reads,2,GAM,60525.0,91662.95246739639
reads,2,GAM,142616.0,63703.862727070315
reads,2,GAM,49853.0,92706.34192259179
reads,2,GAM,63092.0,20649.954717109023
reads,2,GAM,44130.0,132394.82685839327
reads,2,GAM,65040.0,96518.33231365854
reads,3,Linear,45571.0,-39002.63767297848
reads,3,Linear,192597.0,54924.48083648836
reads,3,Linear,64258.0,88145.20332649058
reads,3,Linear,342266.0,108463.2358282955
reads,3,Linear,66002.0,93269.17945595729
reads,3,Linear,83017.0,16860.38329810377
reads,3,Linear,45306.0,111086.57937526796
reads,3,Linear,68455.0,41363.884337240655
reads,3,Linear,4623.0,69189.8735568314
reads,3,Ridge,45571.0,27667.866316522537
reads,3,Ridge,192597.0,77950.19261979178
reads,3,Ridge,64258.0,79927.28128828072
reads,3,Ridge,342266.0,101458.44515042882
reads,3,Ridge,66002.0,85151.42071415069
reads,3,Ridge,83017.0,49192.1462403959
reads,3,Ridge,45306.0,109526.81271682732
reads,3,Ridge,68455.0,69133.59806788416
reads,3,Ridge,4623.0,68268.61288197248
reads,3,RF,45571.0,79699.58477133926
reads,3,RF,192597.0,59918.40651750244
reads,3,RF,64258.0,90063.5263048819
reads,3,RF,342266.0,67007.60506021524
reads,3,RF,66002.0,55030.67755215068
reads,3,RF,83017.0,80754.90913390103
reads,3,RF,45306.0,122016.31237783369
reads,3,RF,68455.0,124800.10185705937
reads,3,RF,4623.0,54965.275076960315
reads,3,XGBoost,45571.0,144293.578125
reads,3,XGBoost,192597.0,82251.9140625
reads,3,XGBoost,64258.0,37470.51171875
reads,3,XGBoost,342266.0,30792.48046875
reads,3,XGBoost,66002.0,53158.77734375
reads,3,XGBoost,83017.0,94480.3125
reads,3,XGBoost,45306.0,90586.4453125
reads,3,XGBoost,68455.0,54753.203125
reads,3,XGBoost,4623.0,55002.015625
reads,3,LightGBM,45571.0,88356.97435897436
reads,3,LightGBM,192597.0,88356.97435897436
reads,3,LightGBM,64258.0,88356.97435897436
reads,3,LightGBM,342266.0,88356.97435897436
reads,3,LightGBM,66002.0,88356.97435897436
reads,3,LightGBM,83017.0,88356.97435897436
reads,3,LightGBM,45306.0,88356.97435897436
reads,3,LightGBM,68455.0,88356.97435897436
reads,3,LightGBM,4623.0,88356.97435897436
reads,3,GAM,45571.0,59396.19053369766
reads,3,GAM,192597.0,45635.23526603915
reads,3,GAM,64258.0,66704.93479986764
reads,3,GAM,342266.0,86022.26717521009
reads,3,GAM,66002.0,23566.474714461307
reads,3,GAM,83017.0,95945.87378869561
reads,3,GAM,45306.0,110286.65563837008
reads,3,GAM,68455.0,51313.86068676136
reads,3,GAM,4623.0,38481.12442276522
reads,4,Linear,126543.0,-36408.73937740027
reads,4,Linear,46027.0,47499.913400887825
reads,4,Linear,54126.0,72800.78446342665
reads,4,Linear,72569.0,132301.62313484802
reads,4,Linear,56140.0,111603.01828581712
reads,4,Linear,49702.0,69131.02180697667
reads,4,Linear,61099.0,107935.08899560377
reads,4,Linear,50657.0,16015.11280922679
reads,4,Linear,73611.0,-83846.60771177603
reads,4,Ridge,126543.0,26349.551739077768
reads,4,Ridge,46027.0,92146.32602080464
reads,4,Ridge,54126.0,63364.44438457197
reads,4,Ridge,72569.0,102041.45764140935
reads,4,Ridge,56140.0,99409.31227841246
reads,4,Ridge,49702.0,95689.8680848704
reads,4,Ridge,61099.0,103653.91665898229
reads,4,Ridge,50657.0,68419.22708740972
reads,4,Ridge,73611.0,-15509.941614031937
reads,4,RF,126543.0,94331.57526213123
reads,4,RF,46027.0,70921.37199491657
reads,4,RF,54126.0,47581.9697045502
reads,4,RF,72569.0,99379.32841209979
reads,4,RF,56140.0,58988.578530937055
reads,4,RF,49702.0,74695.66120419542
reads,4,RF,61099.0,68932.32288650719
reads,4,RF,50657.0,56282.96646178162
reads,4,RF,73611.0,103943.32902602288
reads,4,XGBoost,126543.0,64853.60546875
reads,4,XGBoost,46027.0,81194.578125
reads,4,XGBoost,54126.0,41772.66796875
reads,4,XGBoost,72569.0,66237.328125
reads,4,XGBoost,56140.0,56310.2109375
reads,4,XGBoost,49702.0,130978.03125
reads,4,XGBoost,61099.0,64753.19921875
reads,4,XGBoost,50657.0,51974.9921875
reads,4,XGBoost,73611.0,63620.03515625
reads,4,LightGBM,126543.0,96603.66666666667
reads,4,LightGBM,46027.0,96603.66666666667
reads,4,LightGBM,54126.0,96603.66666666667
reads,4,LightGBM,72569.0,96603.66666666667
reads,4,LightGBM,56140.0,96603.66666666667
reads,4,LightGBM,49702.0,96603.66666666667
reads,4,LightGBM,61099.0,96603.66666666667
reads,4,LightGBM,50657.0,96603.66666666667
reads,4,LightGBM,73611.0,96603.66666666667
reads,4,GAM,126543.0,41691.8188955922
reads,4,GAM,46027.0,34581.2876892481
reads,4,GAM,54126.0,50877.672342673635
reads,4,GAM,72569.0,94962.38676762214
reads,4,GAM,56140.0,91636.58844501014
reads,4,GAM,49702.0,81849.55057376971
reads,4,GAM,61099.0,124830.69083883418
reads,4,GAM,50657.0,18569.738979473783
reads,4,GAM,73611.0,55532.41587109891
zotu,0,Linear,1989.0,1373.3290986689658
zotu,0,Linear,1344.0,1834.41503708355
zotu,0,Linear,1674.0,3563.81039230512
zotu,0,Linear,2950.0,3463.1703385060196
zotu,0,Linear,2449.0,2534.6572825305934
zotu,0,Linear,3267.0,4047.113032712161
zotu,0,Linear,1244.0,3208.6774455328773
zotu,0,Linear,1539.0,3731.818369908305
zotu,0,Linear,881.0,3028.6662009131587
zotu,0,Linear,2290.0,987.777537519298
zotu,0,Ridge,1989.0,2186.972659554902
zotu,0,Ridge,1344.0,2376.6414327895645
zotu,0,Ridge,1674.0,3175.758970441695
zotu,0,Ridge,2950.0,3047.0954490297863
zotu,0,Ridge,2449.0,2712.321068137247
zotu,0,Ridge,3267.0,3339.16042393841
zotu,0,Ridge,1244.0,2804.154710666376
zotu,0,Ridge,1539.0,3170.120557224859
zotu,0,Ridge,881.0,3003.723825721081
zotu,0,Ridge,2290.0,2056.047673211021
zotu,0,RF,1989.0,3007.985947054495
zotu,0,RF,1344.0,2925.0981269655344
zotu,0,RF,1674.0,2576.294437501673
zotu,0,RF,2950.0,3398.631845368275
zotu,0,RF,2449.0,2204.19077798954
zotu,0,RF,3267.0,3495.155666975292
zotu,0,RF,1244.0,4136.5722796951595
zotu,0,RF,1539.0,2747.7274684622357
