Target,Model,Group,MeanAbsSHAP,Contribution
Rotaliida,RF,Sediment Gradient (PC2),201.98396393512726,0.03647982404434426
Rotaliida,RF,Trace Element Gradient (PC1),738.5945169022028,0.13339572851121764
Rotaliida,RF,Trace Element Gradient (PC2),512.7767974372257,0.0926113488422294
Rotaliida,XGBoost,Major Element Gradient (PC1),2240.170056152344,0.27966825351563923
Rotaliida,XGBoost,Major Element Gradient (PC2),521.5636322021485,0.06511326660877771
Rotaliida,XGBoost,Organic-Depth Gradient (PC1),579.332373046875,0.07232525608050178
Rotaliida,XGBoost,Organic-Depth Gradient (PC2),793.0446563720703,0.09900561495247676
Rotaliida,XGBoost,Sediment Gradient (PC1),1372.0291137695312,0.17128743640096247
Rotaliida,XGBoost,Sediment Gradient (PC2),671.6571594238281,0.08385130594057144
Rotaliida,XGBoost,Trace Element Gradient (PC1),1210.8350952148437,0.1511635848556085
Rotaliida,XGBoost,Trace Element Gradient (PC2),621.4656921386719,0.07758528164546212
Textulariida,LightGBM,Major Element Gradient (PC1),0.0,
Textulariida,LightGBM,Major Element Gradient (PC2),0.0,
Textulariida,LightGBM,Organic-Depth Gradient (PC1),0.0,
Textulariida,LightGBM,Organic-Depth Gradient (PC2),0.0,
Textulariida,LightGBM,Sediment Gradient (PC1),0.0,
Textulariida,LightGBM,Sediment Gradient (PC2),0.0,
Textulariida,LightGBM,Trace Element Gradient (PC1),0.0,
Textulariida,LightGBM,Trace Element Gradient (PC2),0.0,
Textulariida,RF,Major Element Gradient (PC1),51.53521595555503,0.3340377466369281
Textulariida,RF,Major Element Gradient (PC2),19.146383356023158,0.12410183277408719
Textulariida,RF,Organic-Depth Gradient (PC1),4.2004198877220436,0.027226019493809234
Textulariida,RF,Organic-Depth Gradient (PC2),8.033361124524065,0.05207013880122232
Textulariida,RF,Sediment Gradient (PC1),12.572093585385693,0.0814890116186297
Textulariida,RF,Sediment Gradient (PC2),7.590925187117634,0.049202385153116944
Textulariida,RF,Trace Element Gradient (PC1),12.887679403608299,0.08353455608050922
