Target,Fold,Model,Observed,Predicted,Residual
Miliolida,0,LightGBM,90.0,138.73684210526315,-48.73684210526315
Miliolida,0,LightGBM,40.0,138.73684210526315,-98.73684210526315
Miliolida,0,LightGBM,33.0,138.73684210526315,-105.73684210526315
Miliolida,0,LightGBM,72.0,138.73684210526315,-66.73684210526315
Miliolida,0,LightGBM,83.0,138.73684210526315,-55.73684210526315
Miliolida,0,LightGBM,84.0,138.73684210526315,-54.73684210526315
Miliolida,0,LightGBM,618.0,138.73684210526315,479.2631578947369
Miliolida,0,LightGBM,119.0,138.73684210526315,-19.73684210526315
Miliolida,0,LightGBM,7.0,138.73684210526315,-131.73684210526315
Miliolida,0,LightGBM,80.0,138.73684210526315,-58.73684210526315
Miliolida,1,LightGBM,94.0,123.73684210526316,-29.736842105263165
Miliolida,1,LightGBM,927.0,123.73684210526316,803.2631578947369
Miliolida,1,LightGBM,256.0,123.73684210526316,132.26315789473682
Miliolida,1,LightGBM,104.0,123.73684210526316,-19.736842105263165
Miliolida,1,LightGBM,74.0,123.73684210526316,-49.736842105263165
Miliolida,1,LightGBM,32.0,123.73684210526316,-91.73684210526316
Miliolida,1,LightGBM,84.0,123.73684210526316,-39.736842105263165
Miliolida,1,LightGBM,101.0,123.73684210526316,-22.736842105263165
Miliolida,1,LightGBM,44.0,123.73684210526316,-79.73684210526316
Miliolida,1,LightGBM,80.0,123.73684210526316,-43.736842105263165
Miliolida,2,LightGBM,101.0,140.42105263157896,-39.42105263157896
Miliolida,2,LightGBM,26.0,140.42105263157896,-114.42105263157896
Miliolida,2,LightGBM,67.0,140.42105263157896,-73.42105263157896
Miliolida,2,LightGBM,509.0,140.42105263157896,368.57894736842104
Miliolida,2,LightGBM,32.0,140.42105263157896,-108.42105263157896
Miliolida,2,LightGBM,135.0,140.42105263157896,-5.421052631578959
Miliolida,2,LightGBM,75.0,140.42105263157896,-65.42105263157896
Miliolida,2,LightGBM,61.0,140.42105263157896,-79.42105263157896
Miliolida,2,LightGBM,54.0,140.42105263157896,-86.42105263157896
Miliolida,2,LightGBM,102.0,140.42105263157896,-38.42105263157896
Miliolida,3,LightGBM,51.0,132.4102564102564,-81.41025641025641
Miliolida,3,LightGBM,106.0,132.4102564102564,-26.41025641025641
Miliolida,3,LightGBM,89.0,132.4102564102564,-43.41025641025641
Miliolida,3,LightGBM,538.0,132.4102564102564,405.5897435897436
Miliolida,3,LightGBM,204.0,132.4102564102564,71.58974358974359
Miliolida,3,LightGBM,74.0,132.4102564102564,-58.41025641025641
Miliolida,3,LightGBM,174.0,132.4102564102564,41.58974358974359
Miliolida,3,LightGBM,88.0,132.4102564102564,-44.41025641025641
Miliolida,3,LightGBM,10.0,132.4102564102564,-122.41025641025641
Miliolida,4,LightGBM,145.0,141.48717948717947,3.512820512820525
Miliolida,4,LightGBM,48.0,141.48717948717947,-93.48717948717947
Miliolida,4,LightGBM,70.0,141.48717948717947,-71.48717948717947
