Target,Model,Feature,mean,std,Importance_CV
Rotaliida,RF,Sediment_PC1,989.4004496861722,597.1699411511644,0.6035674850770288
Rotaliida,RF,Sediment_PC2,201.98396393512726,98.9689515016922,0.48998420257500647
Rotaliida,RF,Trace_PC1,738.5945169022028,335.6861014594399,0.4544930862300025
Rotaliida,RF,Trace_PC2,512.7767974372257,158.76926216071902,0.3096264553197839
Rotaliida,XGBoost,Major_PC1,2240.170056152344,1231.7293875239468,0.5498374483406551
Rotaliida,XGBoost,Major_PC2,521.5636322021485,359.17542216043756,0.6886512018560906
Rotaliida,XGBoost,Organic_PC1,579.332373046875,654.3951349739315,1.1295676979559763
Rotaliida,XGBoost,Organic_PC2,793.0446563720703,440.4643986722524,0.5554093267423784
Rotaliida,XGBoost,Sediment_PC1,1372.0291137695312,412.6504364002633,0.30075924210277283
Rotaliida,XGBoost,Sediment_PC2,671.6571594238281,536.0271103678996,0.7980665475638242
Rotaliida,XGBoost,Trace_PC1,1210.8350952148437,408.92879555460837,0.3377245978173852
Rotaliida,XGBoost,Trace_PC2,621.4656921386719,309.7644138893643,0.498441696472996
Textulariida,LightGBM,Major_PC1,0.0,0.0,
Textulariida,LightGBM,Major_PC2,0.0,0.0,
Textulariida,LightGBM,Organic_PC1,0.0,0.0,
Textulariida,LightGBM,Organic_PC2,0.0,0.0,
Textulariida,LightGBM,Sediment_PC1,0.0,0.0,
Textulariida,LightGBM,Sediment_PC2,0.0,0.0,
Textulariida,LightGBM,Trace_PC1,0.0,0.0,
Textulariida,LightGBM,Trace_PC2,0.0,0.0,
Textulariida,RF,Major_PC1,51.53521595555503,51.574586347531195,1.0007639512369584
Textulariida,RF,Major_PC2,19.146383356023158,22.036171930800478,1.150931302327039
Textulariida,RF,Organic_PC1,4.2004198877220436,4.420511590147487,1.0523975479377141
Textulariida,RF,Organic_PC2,8.033361124524065,4.448956798136041,0.5538101336630274
Textulariida,RF,Sediment_PC1,12.572093585385693,5.104838928679529,0.40604525364125504
Textulariida,RF,Sediment_PC2,7.590925187117634,3.863780597768042,0.5089999575183755
Textulariida,RF,Trace_PC1,12.887679403608299,6.536383698813251,0.5071808115418506
Textulariida,RF,Trace_PC2,38.3135395205078,31.416754149362905,0.819990910329407
Textulariida,XGBoost,Major_PC1,58.71117343902588,49.38824455693235,0.8412069060112417
Textulariida,XGBoost,Major_PC2,15.37236750125885,21.962356103864543,1.4286905450358272
Textulariida,XGBoost,Organic_PC1,7.648352384567261,7.250916007594708,0.9480363407713152
Textulariida,XGBoost,Organic_PC2,6.766085124015808,6.213686671906367,0.9183577442517334
Textulariida,XGBoost,Sediment_PC1,59.39518356323242,47.30800167775958,0.7964955883568443
Textulariida,XGBoost,Sediment_PC2,8.288285255432129,8.892696976160366,1.0729236147286445
Textulariida,XGBoost,Trace_PC1,9.990999603271485,3.55834867089761,0.3561554210984507
Textulariida,XGBoost,Trace_PC2,37.78076820373535,49.2640777234908,1.303945898024914
reads,LightGBM,Major_PC1,0.0,0.0,
reads,LightGBM,Major_PC2,0.0,0.0,
reads,LightGBM,Organic_PC1,0.0,0.0,
reads,LightGBM,Organic_PC2,0.0,0.0,
reads,LightGBM,Sediment_PC1,0.0,0.0,
reads,LightGBM,Sediment_PC2,0.0,0.0,
reads,LightGBM,Trace_PC1,0.0,0.0,
reads,LightGBM,Trace_PC2,0.0,0.0,
reads,RF,Major_PC1,11298.05549069196,7934.818776292877,0.7023172069592041
reads,RF,Major_PC2,8324.005548829064,6891.24400577276,0.8278759505082441
reads,RF,Organic_PC1,2924.2135869351378,3328.0169289236906,1.1380895512532578
reads,RF,Organic_PC2,5106.669441844991,3436.858402828748,0.673013681807265
reads,RF,Sediment_PC1,7882.320999942191,4405.133953026826,0.558862542271386
reads,RF,Sediment_PC2,1595.0367233137843,818.1736713475831,0.5129497392685595
reads,RF,Trace_PC1,7326.55361275215,3603.9479516843035,0.49190221517133137
reads,RF,Trace_PC2,6251.996894423434,2570.7795848040487,0.41119335601351553
reads,XGBoost,Major_PC1,17822.109619140625,9800.294301103455,0.5498952991837799
reads,XGBoost,Major_PC2,5465.815478515625,3755.6529017664107,0.6871166647554574
reads,XGBoost,Organic_PC1,5766.3677734375,3972.796637473491,0.6889599820139796
reads,XGBoost,Organic_PC2,3451.30498046875,2778.4989309470893,0.8050574917808969
reads,XGBoost,Sediment_PC1,13016.407861328125,6151.528637932549,0.472598024237455
reads,XGBoost,Sediment_PC2,5844.613452148437,6083.540014263157,1.0408797885558867
reads,XGBoost,Trace_PC1,9457.79990234375,5673.791684475567,0.5999060820761853
reads,XGBoost,Trace_PC2,13546.864233398437,12627.611098305833,0.9321427365584518
shannon,LightGBM,Major_PC1,0.0,0.0,
shannon,LightGBM,Major_PC2,0.0,0.0,
shannon,LightGBM,Organic_PC1,0.0,0.0,
shannon,LightGBM,Organic_PC2,0.0,0.0,
shannon,LightGBM,Sediment_PC1,0.0,0.0,
shannon,LightGBM,Sediment_PC2,0.0,0.0,
shannon,LightGBM,Trace_PC1,0.0,0.0,
shannon,LightGBM,Trace_PC2,0.0,0.0,
shannon,RF,Major_PC1,0.017819262762273403,0.018455436928953788,1.0357014863727854
shannon,RF,Major_PC2,0.02581512012408304,0.01996880330111047,0.7735312950367209
shannon,RF,Organic_PC1,0.02906602385609298,0.011035049197648377,0.3796545840698176
shannon,RF,Organic_PC2,0.014356969580042239,0.007775374901447868,0.5415749373918358
shannon,RF,Sediment_PC1,0.028884370606698878,0.01003034365109246,0.3472585152596753
shannon,RF,Sediment_PC2,0.032504279187661175,0.007752828487604284,0.23851716393536596
shannon,RF,Trace_PC1,0.01641391387300482,0.009060716955113672,0.552014408337758
shannon,RF,Trace_PC2,0.02190473443332102,0.003961211584096583,0.18083814693826514
shannon,XGBoost,Major_PC1,0.0351228099316358,0.022627355102638972,0.6442353315888337
shannon,XGBoost,Major_PC2,0.04363157656043764,0.03373639731911888,0.7732105960550808
shannon,XGBoost,Organic_PC1,0.05140817761421198,0.018224317999531295,0.3545023154933451
shannon,XGBoost,Organic_PC2,0.04081711955368514,0.01948881523537639,0.47746669653510276
shannon,XGBoost,Sediment_PC1,0.08420372605323787,0.034743994413024,0.4126182538651209
shannon,XGBoost,Sediment_PC2,0.05119420923292632,0.02109105016198451,0.41198116892524406
shannon,XGBoost,Trace_PC1,0.03165168054401868,0.01751262847102875,0.5532922160854479
shannon,XGBoost,Trace_PC2,0.03469957746565338,0.01633186953754912,0.4706647956654476
simpson,LightGBM,Major_PC1,0.0,0.0,
simpson,LightGBM,Major_PC2,0.0,0.0,
simpson,LightGBM,Organic_PC1,0.0,0.0,
simpson,LightGBM,Organic_PC2,0.0,0.0,
simpson,LightGBM,Sediment_PC1,0.0,0.0,
simpson,LightGBM,Sediment_PC2,0.0,0.0,
simpson,LightGBM,Trace_PC1,0.0,0.0,
simpson,LightGBM,Trace_PC2,0.0,0.0,
simpson,RF,Major_PC1,0.00077276726869322,0.0006858135099709191,0.8874774304696638
simpson,RF,Major_PC2,0.0005456565341501599,0.00028433646499225303,0.5210905527505442
simpson,RF,Organic_PC1,0.000541836834569814,0.0006015690164663953,1.1102401647241371
simpson,RF,Organic_PC2,0.00116261344626904,0.000538811749100619,0.46344875059696566
simpson,RF,Sediment_PC1,0.0007915541587000001,0.00035174355132356944,0.44437079567777327
simpson,RF,Sediment_PC2,0.00064515927809098,0.00015507827080725326,0.24037206946186737
simpson,RF,Trace_PC1,0.0011706852049519,0.0006624429364906255,0.565859151280419
simpson,RF,Trace_PC2,0.00143596610402876,0.0011100413571426407,0.7730275485112763
simpson,XGBoost,Major_PC1,0.00156071977107778,0.0011052267565429617,0.7081519546457271
simpson,XGBoost,Major_PC2,0.0008647330047096399,0.00046723614634180374,0.5403241738167405
simpson,XGBoost,Organic_PC1,0.0011929466912988,0.0008486711068370264,0.7114074023819543
simpson,XGBoost,Organic_PC2,0.0015040323603897798,0.0006644405426714325,0.44177277043376806
simpson,XGBoost,Sediment_PC1,0.0012626458832528,0.0004823144777463538,0.38198713047226357
simpson,XGBoost,Sediment_PC2,0.00161716507282104,0.0006407426899812322,0.3962135348764972
simpson,XGBoost,Trace_PC1,0.00129467629012648,0.0007793981298531943,0.6020023196509245
simpson,XGBoost,Trace_PC2,0.001631667552283,0.0008044588577600727,0.4930286544182902
zotu,LightGBM,Major_PC1,0.0,0.0,
zotu,LightGBM,Major_PC2,0.0,0.0,
zotu,LightGBM,Organic_PC1,0.0,0.0,
zotu,LightGBM,Organic_PC2,0.0,0.0,
zotu,LightGBM,Sediment_PC1,0.0,0.0,
zotu,LightGBM,Sediment_PC2,0.0,0.0,
zotu,LightGBM,Trace_PC1,0.0,0.0,
zotu,LightGBM,Trace_PC2,0.0,0.0,
zotu,RF,Major_PC1,150.76679284912643,88.72728764955,0.5885068321267544
zotu,RF,Major_PC2,127.28504810156588,66.86516175840065,0.5253182738717767
zotu,RF,Organic_PC1,88.26409628232109,68.37960972391907,0.7747160238881323
zotu,RF,Organic_PC2,89.03743541456353,41.34756650519957,0.4643840684840357
zotu,RF,Sediment_PC1,72.62195214261915,11.634664481062003,0.16020864405039928
zotu,RF,Sediment_PC2,18.140673449210066,11.387200980615543,0.6277165515655868
zotu,RF,Trace_PC1,69.800653828994,28.443963722708233,0.4075028264404752
zotu,RF,Trace_PC2,96.87086247003232,67.36665687079642,0.6954274500408909
zotu,XGBoost,Major_PC1,237.98190002441407,67.59378435752595,0.28402909780362134
zotu,XGBoost,Major_PC2,310.7071197509766,216.99456359035824,0.6983894149714804
zotu,XGBoost,Organic_PC1,139.60932807922364,148.12218702877036,1.0609762905292113
zotu,XGBoost,Organic_PC2,150.46685409545898,126.79239488153414,0.8426599708205149
zotu,XGBoost,Sediment_PC1,169.7141082763672,47.540356137519844,0.28012023643964706
zotu,XGBoost,Sediment_PC2,69.60307235717774,21.94413856760018,0.31527543001249736
zotu,XGBoost,Trace_PC1,197.32522621154786,180.36282980485288,0.9140383785066083
zotu,XGBoost,Trace_PC2,119.65142440795898,79.01275542690787,0.660357833748046
