Target,Model,Feature,MeanAbsSHAP
reads,LightGBM,Sediment_PC2,0.0
reads,LightGBM,Trace_PC1,0.0
reads,LightGBM,Trace_PC2,0.0
reads,RF,Major_PC1,11298.05549069196
reads,RF,Major_PC2,8324.005548829064
reads,RF,Organic_PC1,2924.2135869351378
reads,RF,Organic_PC2,5106.669441844991
reads,RF,Sediment_PC1,7882.320999942191
reads,RF,Sediment_PC2,1595.0367233137843
reads,RF,Trace_PC1,7326.55361275215
reads,RF,Trace_PC2,6251.996894423434
reads,XGBoost,Major_PC1,17822.109619140625
reads,XGBoost,Major_PC2,5465.815478515625
reads,XGBoost,Organic_PC1,5766.3677734375
reads,XGBoost,Organic_PC2,3451.30498046875
reads,XGBoost,Sediment_PC1,13016.407861328125
reads,XGBoost,Sediment_PC2,5844.613452148437
reads,XGBoost,Trace_PC1,9457.79990234375
reads,XGBoost,Trace_PC2,13546.864233398437
shannon,LightGBM,Major_PC1,0.0
shannon,LightGBM,Major_PC2,0.0
shannon,LightGBM,Organic_PC1,0.0
shannon,LightGBM,Organic_PC2,0.0
shannon,LightGBM,Sediment_PC1,0.0
shannon,LightGBM,Sediment_PC2,0.0
shannon,LightGBM,Trace_PC1,0.0
shannon,LightGBM,Trace_PC2,0.0
shannon,RF,Major_PC1,0.017819262762273403
shannon,RF,Major_PC2,0.02581512012408304
shannon,RF,Organic_PC1,0.02906602385609298
shannon,RF,Organic_PC2,0.014356969580042239
shannon,RF,Sediment_PC1,0.028884370606698878
shannon,RF,Sediment_PC2,0.032504279187661175
shannon,RF,Trace_PC1,0.01641391387300482
shannon,RF,Trace_PC2,0.02190473443332102
shannon,XGBoost,Major_PC1,0.0351228099316358
shannon,XGBoost,Major_PC2,0.04363157656043764
shannon,XGBoost,Organic_PC1,0.05140817761421198
shannon,XGBoost,Organic_PC2,0.04081711955368514
shannon,XGBoost,Sediment_PC1,0.08420372605323787
shannon,XGBoost,Sediment_PC2,0.05119420923292632
shannon,XGBoost,Trace_PC1,0.03165168054401868
shannon,XGBoost,Trace_PC2,0.03469957746565338
simpson,LightGBM,Major_PC1,0.0
simpson,LightGBM,Major_PC2,0.0
simpson,LightGBM,Organic_PC1,0.0
simpson,LightGBM,Organic_PC2,0.0
simpson,LightGBM,Sediment_PC1,0.0
simpson,LightGBM,Sediment_PC2,0.0
simpson,LightGBM,Trace_PC1,0.0
simpson,LightGBM,Trace_PC2,0.0
simpson,RF,Major_PC1,0.00077276726869322
simpson,RF,Major_PC2,0.0005456565341501599
simpson,RF,Organic_PC1,0.000541836834569814
simpson,RF,Organic_PC2,0.00116261344626904
simpson,RF,Sediment_PC1,0.0007915541587000001
simpson,RF,Sediment_PC2,0.00064515927809098
simpson,RF,Trace_PC1,0.0011706852049519
simpson,RF,Trace_PC2,0.00143596610402876
simpson,XGBoost,Major_PC1,0.00156071977107778
simpson,XGBoost,Major_PC2,0.0008647330047096399
simpson,XGBoost,Organic_PC1,0.0011929466912988
