Target,Fold,Group,PC,Variable,Loading
reads,1,Trace,PC1,Ni,0.4423180334320727
reads,1,Trace,PC1,Cu,0.3844653015441728
reads,1,Trace,PC1,Zn,0.10434545890389851
reads,1,Trace,PC1,Ga,0.05739896181396793
reads,1,Trace,PC1,As,-0.03669234147956353
reads,1,Trace,PC1,Rb,-0.22192726644414976
reads,1,Trace,PC2,Sc,0.3101533942898659
reads,1,Trace,PC2,Ti,0.33202166853631887
reads,1,Trace,PC2,V,0.35251187879330537
reads,1,Trace,PC2,Cr,0.1884193984811246
reads,1,Trace,PC2,Mn,0.08055641109869947
reads,1,Trace,PC2,Co,0.3777095691390992
reads,1,Trace,PC2,Ni,0.04821946491591319
reads,1,Trace,PC2,Cu,0.1705251733693314
reads,1,Trace,PC2,Zn,0.4698892875660943
reads,1,Trace,PC2,Ga,0.37288157459524673
reads,1,Trace,PC2,As,-0.2501185819721749
reads,1,Trace,PC2,Rb,-0.17563105474522964
reads,1,Organic,PC1,Chlorophyll a,-0.25214562788675765
reads,1,Organic,PC1,Depth,-0.20424773207953542
reads,1,Organic,PC1,N,0.5354418262200473
reads,1,Organic,PC1,C,0.5319970148029409
reads,1,Organic,PC1,S1,0.5331801971402728
reads,1,Organic,PC1,P,-0.09936515224806838
reads,1,Organic,PC1,S2,0.12333518456398287
reads,1,Organic,PC1,Cl,0.1249821963225409
reads,1,Organic,PC2,Chlorophyll a,0.394387028973858
reads,1,Organic,PC2,Depth,-0.3319393813975401
reads,1,Organic,PC2,N,-0.1479786138391745
reads,1,Organic,PC2,C,-0.10835322933062658
reads,1,Organic,PC2,S1,0.04382352864189725
reads,1,Organic,PC2,P,-0.010725705193030994
reads,1,Organic,PC2,S2,0.689399443593757
reads,1,Organic,PC2,Cl,0.472577920297337
reads,2,Sediment,PC1,Grain Size,0.33603971912545705
reads,2,Sediment,PC1,Sorting,0.47645830865054456
reads,2,Sediment,PC1,Skewness,-0.47024002858365566
reads,2,Sediment,PC1,Kurtosis,-0.47492334820957005
reads,2,Sediment,PC1,Clay Content,0.20470687635908175
