Target,Fold,Model,Observed,Predicted
Other,2,XGBoost,41845.0,45288.23046875
Other,2,XGBoost,29038.0,82360.25
Other,2,XGBoost,43735.0,20942.607421875
Other,3,XGBoost,31999.0,66692.46875
Other,3,XGBoost,104894.0,47810.62890625
Other,3,XGBoost,41551.0,28352.10546875
Other,3,XGBoost,208514.0,14704.16015625
Other,3,XGBoost,44906.0,34133.109375
Other,3,XGBoost,56484.0,75259.09375
Other,3,XGBoost,32493.0,60697.96484375
Other,3,XGBoost,45932.0,38573.83203125
Other,3,XGBoost,2777.0,31406.6796875
Other,4,XGBoost,79976.0,43419.34765625
Other,4,XGBoost,30002.0,51336.2578125
Other,4,XGBoost,34121.0,26791.232421875
Other,4,XGBoost,44721.0,44714.93359375
Other,4,XGBoost,38079.0,41587.52734375
Other,4,XGBoost,34012.0,78569.6640625
Other,4,XGBoost,39365.0,49000.41796875
Other,4,XGBoost,32865.0,34407.57421875
Other,4,XGBoost,48552.0,43770.59765625
Rotaliida,0,XGBoost,8228.0,10912.01171875
Rotaliida,0,XGBoost,2628.0,6690.83935546875
Rotaliida,0,XGBoost,2671.0,5860.51171875
Rotaliida,0,XGBoost,15545.0,7449.7001953125
Rotaliida,0,XGBoost,6882.0,6391.08740234375
Rotaliida,0,XGBoost,7034.0,6944.9482421875
Rotaliida,0,XGBoost,8348.0,7044.08544921875
Rotaliida,0,XGBoost,15540.0,9901.8369140625
Rotaliida,0,XGBoost,820.0,9737.65234375
Rotaliida,0,XGBoost,6452.0,5360.72119140625
Rotaliida,1,XGBoost,7084.0,7937.802734375
Rotaliida,1,XGBoost,78732.0,6593.15673828125
Rotaliida,1,XGBoost,28116.0,6667.75634765625
Rotaliida,1,XGBoost,4940.0,10366.8876953125
Rotaliida,1,XGBoost,5874.0,8776.447265625
Rotaliida,1,XGBoost,2268.0,7962.4248046875
Rotaliida,1,XGBoost,6955.0,9170.328125
Rotaliida,1,XGBoost,7213.0,7667.701171875
Rotaliida,1,XGBoost,4872.0,8409.220703125
Rotaliida,1,XGBoost,9915.0,6973.5517578125
Rotaliida,2,XGBoost,9409.0,2550.25830078125
Rotaliida,2,XGBoost,5455.0,4381.5830078125
Rotaliida,2,XGBoost,5475.0,11838.125
Rotaliida,2,XGBoost,41206.0,6918.642578125
Rotaliida,2,XGBoost,8522.0,7236.76953125
Rotaliida,2,XGBoost,13944.0,7749.09521484375
Rotaliida,2,XGBoost,5183.0,9955.1708984375
Rotaliida,2,XGBoost,6326.0,9233.94140625
Rotaliida,2,XGBoost,4989.0,10956.720703125
Rotaliida,2,XGBoost,8239.0,3687.499267578125
Rotaliida,3,XGBoost,5368.0,6061.15283203125
Rotaliida,3,XGBoost,17898.0,8159.4736328125
Rotaliida,3,XGBoost,6041.0,6745.78271484375
Rotaliida,3,XGBoost,40518.0,5959.9736328125
Rotaliida,3,XGBoost,6712.0,6996.0302734375
Rotaliida,3,XGBoost,9821.0,10351.884765625
Rotaliida,3,XGBoost,6538.0,11998.3369140625
Rotaliida,3,XGBoost,8371.0,6460.9248046875
Rotaliida,3,XGBoost,504.0,7822.1015625
Rotaliida,4,XGBoost,15599.0,8685.2841796875
Rotaliida,4,XGBoost,5974.0,8592.7685546875
Rotaliida,4,XGBoost,8775.0,5395.67333984375
Rotaliida,4,XGBoost,7497.0,8790.98828125
Rotaliida,4,XGBoost,5383.0,6259.49609375
Rotaliida,4,XGBoost,4912.0,14738.0009765625
Rotaliida,4,XGBoost,5775.0,9421.419921875
Rotaliida,4,XGBoost,6674.0,6199.43115234375
Rotaliida,4,XGBoost,10780.0,8124.7275390625
Textulariida,0,XGBoost,119.0,118.34008026123048
Textulariida,0,XGBoost,31.0,130.8498992919922
Textulariida,0,XGBoost,44.0,100.25199127197266
Textulariida,0,XGBoost,93.0,205.4083709716797
Textulariida,0,XGBoost,94.0,60.33973693847656
Textulariida,0,XGBoost,133.0,112.75809478759766
Textulariida,0,XGBoost,38.0,141.30706787109375
Textulariida,0,XGBoost,112.0,148.00564575195312
Textulariida,0,XGBoost,13.0,142.0398406982422
Textulariida,0,XGBoost,93.0,85.94390869140625
Textulariida,1,XGBoost,90.0,83.6917495727539
Textulariida,1,XGBoost,898.0,101.58484649658205
Textulariida,1,XGBoost,365.0,81.85913848876953
Textulariida,1,XGBoost,72.0,78.2706298828125
Textulariida,1,XGBoost,76.0,68.86194610595703
Textulariida,1,XGBoost,28.0,136.96131896972656
Textulariida,1,XGBoost,147.0,83.39093780517578
Textulariida,1,XGBoost,101.0,90.3537139892578
Textulariida,1,XGBoost,80.0,115.66751861572266
