Target,Fold,Model,R2,R2_train,RMSE,RMSE_train,MAE,MAE_train
reads,0,Linear,-14.438392886043127,0.435604117800355,103520.31518641728,87205.60265925004,88000.04076086257,61878.16755690542
reads,0,Ridge,-4.410463183557292,0.2866606769978719,61283.24651360037,98039.37910109371,49114.58938794014,64092.21318388224
reads,0,RF,-5.764129727054185,0.7067758035774176,68522.07489838416,62856.815095966704,47818.30531638624,40923.48323555153
reads,0,XGBoost,-0.14737212657928467,0.9991899132728577,28221.27764648511,3303.872727572901,23227.712890625,2483.941162109375
reads,0,LightGBM,-3.014164323357706,0.0,52786.40852320876,116078.68231544211,46370.15789473684,71955.99307479225
reads,0,GAM,-6.342700684244617,0.6540762716123838,71392.47755966905,68272.00323196767,60980.58151354086,47440.255875832605
reads,1,Linear,-0.22374438014641207,0.27567766777824887,186654.8061524978,65962.39046997717,110607.45556321353,46389.98351996793
reads,1,Ridge,-0.1452127151497138,0.14991799401208927,180566.38460374062,71459.64592355251,94408.58457507046,41070.61045357425
reads,1,RF,-0.1357216495233513,0.688189938198364,179816.59684435336,43278.82994099305,83370.25258409363,25919.837463874203
reads,1,XGBoost,-0.1575465202331543,0.9996798634529114,181536.12127618017,1386.7535830132188,82436.7578125,1082.4830322265625
reads,1,LightGBM,-0.1000908590024252,0.0,176973.44287308803,77505.12986321785,86118.72105263158,44638.16066481994
reads,1,GAM,-0.1469266213977498,0.3799866185049121,180701.450408056,61028.25885945035,115715.47273120687,43995.838841978555
reads,2,Linear,-0.14730912068588564,0.4524033228989762,114740.6643956119,77809.69106676307,74235.50500842187,55097.54128621017
reads,2,Ridge,0.035412626930893976,0.34098196259574454,105207.79620573793,85359.51516784933,58218.86024655319,51306.819349604164
reads,2,RF,-0.2943539507939281,0.8582586707821189,121871.9230639963,39586.904147694295,78560.06118984788,26178.426080992303
reads,2,XGBoost,-0.45078277587890625,1.0,129026.32934405288,6.894444935720329,79618.84375,5.4993577003479
reads,2,LightGBM,-0.007049248994584367,0.0,107498.52176525672,105148.55019845617,65671.77368421054,57273.96121883656
reads,2,GAM,0.017482122716945825,0.6985720653467667,106181.13611661072,57729.13336356716,65693.25098171268,40441.2511163943
reads,3,Linear,-0.11244687330987935,0.3550535540181592,103113.12292805535,86099.76643574743,81199.83212082193,52074.675403308735
reads,3,Ridge,0.05386960614967806,0.2629642036452321,95093.27342310877,92041.65878805958,63394.00837133071,50566.620877828565
reads,3,RF,-0.2429970135075623,0.8001542505722735,108995.69451197989,47927.812125810786,73833.57801381168,26948.17891976322
reads,3,XGBoost,-0.4500159025192261,0.9999826550483704,117722.82891606029,446.5119679247131,75666.28125,309.7740478515625
reads,3,LightGBM,-0.017646694361660664,0.0,98621.77472994413,107211.19737216677,66601.76353276352,56814.11045364894
reads,3,GAM,-0.10541925245962802,0.620603048122147,102786.91049728375,66036.95889117509,65646.88237121381,38174.629438914075
reads,4,Linear,-11.605669960557455,0.3690784469989554,83074.5206118102,92033.21963941521,61851.07604083439,68812.16195441059
reads,4,Ridge,-4.515305995103067,0.2739810286943922,54950.25143433165,98725.85832544255,47079.88244793499,63643.02732398639
reads,4,RF,0.17505463332302262,0.8920751360427914,21251.88570192819,38064.28606171697,18010.445949975452,24559.79175150917
reads,4,XGBoost,-1.4264156818389893,1.0,36447.47673022098,5.949490296146011,23550.15234375,4.252729415893555
reads,4,LightGBM,-1.7547933537210807,0.0,38835.54381167011,115866.24527519193,37648.629629629635,70262.11965811963
